time	x	y	
01:42.2	"12,13"	"-16,33"	1
01:42.3	"14,21"	"-13,55"	1
01:42.4	"15,93"	"-14,11"	1
01:42.6	"17,86"	"-14,84"	1
01:42.7	"19,87"	"-15,66"	1
01:42.8	"21,22"	"-15,74"	1
01:42.9	"21,15"	"-15,29"	1
01:43.1	"17,57"	"-14,11"	1
01:43.2	"17,11"	"-13,98"	1
01:43.3	"16,86"	"-14,10"	1
01:43.4	"17,58"	"-15,60"	1
01:43.6	"18,79"	"-15,50"	1
01:43.7	"19,46"	"-15,01"	1
01:43.8	"20,19"	"-12,83"	1
01:43.9	"20,28"	"-12,30"	1
01:44.0	"20,33"	"-12,25"	1
01:44.1	"20,33"	"-12,17"	1
01:44.3	"20,33"	"-12,21"	1
01:44.4	"20,33"	"-12,05"	1
01:44.6	"20,29"	"-11,84"	1
01:44.7	"20,33"	"-11,76"	1
01:44.8	"20,29"	"-11,76"	1
01:45.1	"20,21"	"-11,71"	1
01:45.2	"19,80"	"-11,79"	1
01:45.3	"19,05"	"-14,22"	1
01:45.4	"19,57"	"-15,34"	1
01:45.6	"20,93"	"-16,03"	1
01:45.7	"22,61"	"-17,09"	1
01:45.8	"22,52"	"-17,38"	1
01:45.9	"22,52"	"-17,33"	1
01:46.1	"22,80"	"-17,79"	1
01:46.2	"22,76"	"-17,88"	1
01:46.3	"22,55"	"-18,20"	1
01:46.4	"22,09"	"-18,49"	1
01:46.6	"20,80"	"-19,09"	1
01:46.7	"16,26"	"-18,27"	1
01:46.8	"15,81"	"-18,18"	1
01:46.9	"15,64"	"-18,30"	1
01:47.1	"15,72"	"-18,68"	1
01:47.2	"18,79"	"-20,38"	1
01:47.3	"19,57"	"-20,64"	1
01:47.5	"20,27"	"-20,77"	1
01:47.6	"20,73"	"-20,78"	1
01:47.7	"21,14"	"-20,71"	1
01:47.8	"21,31"	"-20,63"	1
01:47.9	"21,31"	"-20,62"	1
01:48.0	"21,35"	"-20,54"	1
01:48.1	"21,48"	"-20,34"	1
01:48.2	"21,52"	"-20,30"	1
01:48.5	"21,40"	"-20,09"	1
01:48.6	"20,65"	"-20,20"	1
02:08.0	"5,56"	"-5,10"	2
02:08.1	"5,56"	"-5,14"	2
02:08.1	"5,64"	"-5,23"	2
02:08.2	"5,60"	"-5,14"	2
02:08.4	"5,65"	"-5,10"	2
02:08.5	"5,61"	"-4,98"	2
02:08.6	"5,65"	"-5,02"	2
02:08.7	"5,69"	"-5,02"	2
02:08.8	"5,69"	"-5,06"	2
02:08.9	"5,65"	"-4,98"	2
02:09.0	"5,57"	"-4,85"	2
02:09.1	"5,65"	"-4,86"	2
02:09.2	"5,57"	"-4,81"	2
02:09.5	"5,49"	"-4,81"	2
02:09.6	"5,32"	"-4,85"	2
02:09.7	"5,16"	"-4,85"	2
02:09.9	"5,03"	"-4,80"	2
02:10.0	"4,95"	"-4,84"	2
02:10.1	"4,82"	"-4,92"	2
02:10.2	"4,74"	"-5,05"	2
02:10.4	"4,78"	"-5,05"	2
02:10.5	"4,74"	"-5,05"	2
02:10.5	"4,74"	"-5,04"	2
02:10.6	"4,70"	"-5,00"	2
02:10.7	"4,70"	"-4,96"	2
02:10.9	"4,70"	"-4,84"	2
02:11.0	"4,66"	"-4,63"	2
02:11.1	"4,50"	"-4,34"	2
02:11.2	"4,30"	"-4,13"	2
02:11.4	"4,13"	"-4,13"	2
02:11.5	"4,00"	"-4,37"	2
02:11.6	"4,04"	"-4,66"	2
