time	x	y	
01:52.2	"23,21"	"11,40"	2
01:52.2	"23,21"	"11,41"	2
01:52.3	"23,35"	"11,86"	2
01:52.4	"23,34"	"11,86"	2
01:52.5	"23,43"	"12,06"	2
01:52.6	"23,52"	"12,22"	2
01:52.7	"23,60"	"12,26"	2
01:52.8	"23,60"	"12,31"	2
01:53.0	"23,65"	"12,30"	2
01:53.1	"23,69"	"12,26"	2
01:53.2	"23,69"	"12,22"	2
01:53.5	"23,73"	"12,18"	2
01:53.6	"23,73"	"12,14"	2
01:53.7	"23,72"	"12,09"	2
01:53.8	"23,72"	"12,01"	2
01:54.0	"23,77"	"12,01"	2
01:54.1	"23,85"	"12,05"	2
01:54.1	"23,89"	"12,01"	2
01:54.3	"23,93"	"11,97"	2
01:54.5	"23,93"	"11,92"	2
01:54.6	"23,93"	"11,93"	2
01:54.6	"23,93"	"11,88"	2
01:54.7	"23,93"	"11,84"	2
01:54.8	"23,93"	"11,76"	2
01:55.1	"23,92"	"11,68"	2
01:55.2	"23,92"	"11,63"	2
01:55.3	"23,88"	"11,59"	2
01:55.5	"23,88"	"11,51"	2
01:55.6	"23,87"	"11,47"	2
01:55.7	"23,87"	"11,43"	2
01:55.8	"23,83"	"11,39"	2
01:56.0	"23,83"	"11,35"	2
01:56.1	"23,83"	"11,31"	2
01:56.2	"23,87"	"11,35"	2
01:56.3	"24,14"	"12,13"	2
01:56.5	"24,36"	"12,83"	2
01:56.6	"24,45"	"12,99"	2
01:56.7	"24,49"	"13,03"	2
01:56.8	"24,49"	"13,07"	2
01:57.1	"24,53"	"13,03"	2
01:57.3	"24,53"	"12,99"	2
01:57.5	"24,53"	"12,94"	2
01:57.6	"24,53"	"12,90"	2
01:57.7	"24,57"	"12,82"	2
01:57.8	"24,57"	"12,78"	2
01:58.0	"24,56"	"12,74"	2
01:58.1	"24,56"	"12,65"	2
01:58.2	"24,56"	"12,61"	2
01:58.3	"24,56"	"12,57"	2
01:58.5	"24,56"	"12,49"	2
01:58.6	"24,56"	"12,45"	2
01:58.7	"24,60"	"12,41"	2
01:58.8	"24,60"	"12,36"	2
01:59.0	"24,60"	"12,28"	2
01:59.1	"24,59"	"12,24"	2
01:59.2	"24,59"	"12,20"	2
