time	x	y	
02:50.6	"21,51"	"2,07"	1
02:50.7	"21,42"	"2,15"	1
02:50.8	"21,38"	"2,15"	1
02:50.9	"21,38"	"2,11"	1
02:51.2	"21,39"	"2,11"	1
02:51.2	"21,39"	"2,06"	1
02:51.2	"21,39"	"2,07"	1
02:51.3	"21,34"	"2,06"	1
02:51.4	"21,30"	"2,06"	1
02:51.6	"21,30"	"2,02"	1
02:51.8	"21,22"	"2,02"	1
02:51.8	"21,26"	"2,02"	1
02:51.9	"21,09"	"2,10"	1
02:52.1	"21,10"	"2,06"	1
02:52.2	"21,18"	"1,98"	1
02:52.3	"21,14"	"1,94"	1
02:52.4	"21,14"	"1,90"	1
02:52.6	"21,02"	"1,94"	1
02:52.6	"21,01"	"1,94"	1
02:52.7	"20,89"	"1,98"	1
02:52.8	"20,76"	"2,06"	1
02:52.9	"20,81"	"1,93"	1
02:53.1	"20,72"	"1,93"	1
02:53.2	"20,64"	"1,93"	1
02:53.3	"20,68"	"1,93"	1
02:53.4	"20,72"	"1,81"	1
02:53.6	"20,72"	"1,76"	1
02:53.7	"20,68"	"1,80"	1
02:53.8	"20,68"	"1,72"	1
02:53.9	"20,73"	"1,64"	1
02:54.3	"20,68"	"1,72"	1
02:54.4	"20,73"	"1,64"	1
02:54.6	"20,73"	"1,60"	1
02:54.7	"20,73"	"1,56"	1
02:54.9	"20,73"	"1,52"	1
02:55.3	"20,73"	"1,56"	1
02:55.4	"20,73"	"1,52"	1
02:55.7	"20,73"	"1,56"	1
02:55.8	"20,73"	"1,52"	1
