time	x	y	
02:15.4	"38,55"	"13,87"	1
02:15.5	"39,29"	"13,49"	1
02:15.7	"39,29"	"13,54"	1
02:15.8	"39,29"	"13,53"	1
02:15.9	"39,33"	"13,41"	1
02:16.0	"39,29"	"13,49"	1
02:16.1	"39,33"	"13,53"	1
02:16.2	"39,33"	"13,57"	1
02:16.3	"39,33"	"13,58"	1
02:16.4	"39,41"	"13,53"	1
02:16.5	"39,70"	"13,49"	1
02:16.6	"39,70"	"13,57"	1
02:16.8	"39,74"	"13,53"	1
02:16.9	"39,75"	"13,53"	1
02:17.0	"39,71"	"13,61"	1
02:17.1	"39,58"	"13,70"	1
02:17.3	"39,58"	"13,66"	1
02:17.4	"39,58"	"13,74"	1
02:17.5	"39,47"	"14,40"	1
02:17.6	"39,43"	"14,48"	1
02:18.0	"39,30"	"14,61"	1
02:18.1	"38,56"	"14,61"	1
02:18.3	"39,05"	"13,56"	1
02:18.4	"39,74"	"13,91"	1
02:18.5	"39,70"	"14,12"	1
02:18.6	"39,74"	"14,12"	1
02:18.8	"39,75"	"14,12"	1
02:18.9	"39,79"	"14,12"	1
02:19.0	"39,58"	"14,24"	1
02:19.1	"39,50"	"14,28"	1
02:19.3	"39,38"	"14,41"	1
02:19.4	"39,29"	"14,08"	1
02:19.5	"39,33"	"14,04"	1
02:19.6	"39,37"	"14,04"	1
02:19.8	"39,45"	"13,99"	1
02:19.8	"40,94"	"12,81"	1
02:19.9	"40,93"	"11,99"	1
02:20.0	"41,25"	"11,66"	1
02:20.1	"41,83"	"11,77"	1
02:20.3	"42,12"	"11,69"	1
02:20.4	"42,20"	"11,61"	1
02:20.5	"42,20"	"11,57"	1
02:20.6	"42,20"	"11,56"	1
02:20.6	"42,12"	"11,52"	1
02:20.9	"42,07"	"11,57"	1
02:21.0	"42,03"	"11,61"	1
02:21.1	"42,03"	"11,65"	1
02:21.3	"41,95"	"11,61"	1
02:21.4	"41,95"	"11,65"	1
02:21.8	"41,91"	"11,69"	1
02:21.9	"41,91"	"11,73"	1
02:22.0	"41,87"	"11,77"	1
03:17.6	"38,11"	"-5,88"	2
03:17.9	"38,15"	"-5,92"	2
03:18.0	"37,94"	"-5,96"	2
03:18.1	"37,86"	"-6,04"	2
03:18.2	"37,86"	"-6,13"	2
03:18.4	"37,94"	"-6,17"	2
03:18.6	"37,94"	"-6,08"	2
03:18.7	"38,02"	"-6,08"	2
03:18.9	"37,65"	"-6,29"	2
03:19.0	"37,27"	"-6,78"	2
03:19.1	"37,31"	"-6,82"	2
03:19.2	"37,27"	"-6,82"	2
03:19.3	"37,31"	"-6,82"	2
03:19.4	"37,23"	"-6,86"	2
03:19.5	"37,23"	"-7,23"	2
03:19.6	"37,39"	"-7,73"	2
03:19.7	"37,63"	"-7,98"	2
03:19.9	"37,59"	"-8,06"	2
03:20.1	"37,75"	"-8,18"	2
03:20.2	"38,37"	"-8,60"	2
03:20.4	"38,41"	"-8,64"	2
03:20.5	"38,33"	"-8,60"	2
03:20.7	"38,41"	"-8,52"	2
03:20.9	"38,45"	"-8,48"	2
03:21.0	"38,41"	"-8,23"	2
03:21.1	"38,88"	"-7,04"	2
03:21.2	"38,92"	"-6,92"	2
03:21.5	"38,88"	"-6,96"	2
03:21.6	"38,88"	"-6,92"	2
03:21.6	"38,96"	"-6,92"	2
03:21.7	"38,79"	"-7,04"	2
03:21.9	"37,80"	"-6,99"	2
03:22.0	"37,55"	"-7,44"	2
03:22.2	"37,68"	"-7,52"	2
03:22.3	"37,67"	"-7,52"	2
03:22.4	"37,67"	"-7,65"	2
03:22.5	"37,96"	"-7,69"	2
03:22.6	"38,09"	"-7,65"	2
03:22.7	"38,34"	"-7,49"	2
03:22.8	"38,29"	"-7,45"	2
03:22.8	"38,30"	"-7,45"	2
03:23.0	"38,30"	"-7,49"	2
03:23.1	"38,34"	"-7,45"	2
03:23.2	"38,29"	"-7,45"	2
03:23.4	"38,25"	"-7,49"	2
03:27.1	"37,59"	"-7,38"	3
03:27.2	"37,72"	"-7,50"	3
03:27.3	"37,71"	"-7,50"	3
03:27.4	"37,92"	"-7,71"	3
03:27.5	"38,25"	"-7,75"	3
03:27.6	"38,29"	"-7,67"	3
03:27.7	"38,29"	"-7,42"	3
03:28.0	"38,42"	"-7,22"	3
03:28.1	"38,50"	"-7,18"	3
03:28.2	"38,63"	"-7,18"	3
03:28.3	"38,62"	"-7,18"	3
03:28.4	"38,54"	"-7,18"	3
03:28.6	"38,59"	"-7,18"	3
03:28.7	"38,71"	"-7,18"	3
03:28.9	"38,88"	"-6,89"	3
03:29.0	"38,84"	"-6,73"	3
03:29.1	"38,80"	"-6,60"	3
03:29.4	"38,76"	"-6,56"	3
03:29.5	"38,76"	"-6,52"	3
03:29.6	"38,67"	"-6,48"	3
03:30.4	"38,72"	"-6,44"	3
03:30.5	"38,67"	"-6,44"	3
03:30.5	"38,68"	"-6,43"	3
03:30.9	"38,72"	"-6,39"	3
03:31.1	"38,68"	"-5,94"	3
03:31.3	"38,60"	"-5,90"	3
03:31.4	"38,60"	"-5,98"	3
03:31.6	"38,68"	"-6,19"	3
03:31.8	"38,71"	"-6,43"	3
03:32.0	"38,80"	"-6,43"	3
03:32.3	"39,54"	"-6,19"	3
03:32.4	"40,37"	"-5,79"	3
03:32.5	"41,12"	"-5,06"	3
03:32.6	"41,28"	"-4,89"	3
03:32.8	"41,37"	"-4,77"	3
03:33.0	"41,87"	"-4,32"	3
03:33.1	"43,28"	"-2,65"	3
03:33.3	"43,49"	"-2,48"	3
03:33.4	"43,53"	"-2,49"	3
03:33.6	"43,57"	"-2,45"	3
03:33.8	"43,66"	"-1,99"	3
03:33.9	"43,74"	"-2,12"	3
03:34.0	"43,91"	"-1,91"	3
03:34.1	"43,87"	"-1,83"	3
03:34.4	"43,37"	"-1,91"	3
03:34.5	"42,96"	"-2,27"	3
03:34.6	"42,96"	"-2,28"	3
03:34.6	"42,95"	"-2,81"	3
03:34.8	"43,48"	"-3,60"	3
03:34.9	"43,65"	"-3,56"	3
03:35.0	"43,61"	"-3,60"	3
03:35.1	"43,98"	"-3,73"	3
03:35.3	"44,26"	"-3,69"	3
03:35.4	"44,51"	"-3,69"	3
03:35.5	"44,59"	"-3,57"	3
03:35.6	"44,72"	"-3,49"	3
03:35.9	"44,76"	"-3,49"	3
03:36.0	"44,76"	"-3,44"	3
03:36.0	"44,76"	"-3,45"	3
03:36.1	"44,80"	"-3,40"	3
03:36.3	"44,84"	"-3,36"	3
03:36.5	"44,89"	"-3,32"	3
03:36.6	"44,93"	"-3,28"	3
03:36.7	"44,93"	"-3,29"	3
03:36.8	"44,97"	"-3,24"	3
03:36.9	"44,97"	"-3,16"	3
03:37.3	"44,97"	"-3,20"	3
03:37.6	"44,97"	"-3,24"	3
03:38.0	"44,97"	"-3,16"	3
03:38.1	"44,97"	"-3,12"	3
03:38.3	"44,97"	"-3,08"	3
03:38.4	"44,93"	"-3,04"	3
03:38.5	"44,89"	"-2,96"	3
03:38.8	"44,89"	"-2,88"	3
04:26.2	"42,42"	"8,24"	4
04:26.2	"42,46"	"8,20"	4
04:26.3	"42,54"	"8,28"	4
04:26.5	"42,66"	"8,04"	4
04:26.6	"42,53"	"7,13"	4
04:26.7	"42,32"	"6,47"	4
04:26.8	"42,23"	"6,06"	4
04:27.0	"42,27"	"5,90"	4
04:27.1	"42,10"	"5,40"	4
04:27.2	"41,98"	"5,28"	4
04:27.3	"41,93"	"5,24"	4
04:27.5	"42,02"	"5,20"	4
04:27.6	"40,93"	"3,31"	4
04:27.7	"41,17"	"3,02"	4
04:27.8	"41,13"	"2,94"	4
04:28.0	"41,04"	"2,86"	4
04:28.1	"40,92"	"2,82"	4
04:28.2	"41,00"	"2,78"	4
04:28.4	"40,84"	"2,86"	4
04:28.5	"40,76"	"2,95"	4
04:28.6	"40,80"	"2,90"	4
04:28.6	"40,80"	"2,95"	4
04:28.7	"40,80"	"2,90"	4
04:28.8	"40,80"	"2,86"	4
04:28.9	"40,72"	"2,95"	4
04:29.0	"40,76"	"3,03"	4
04:29.0	"40,76"	"2,99"	4
04:29.1	"40,80"	"2,99"	4
04:29.2	"40,84"	"3,28"	4
04:29.4	"41,01"	"3,69"	4
04:29.5	"41,01"	"3,64"	4
04:29.6	"41,01"	"3,89"	4
04:29.7	"41,06"	"4,30"	4
04:29.9	"41,15"	"4,71"	4
04:30.0	"40,08"	"5,06"	4
04:30.1	"39,66"	"4,85"	4
04:30.2	"39,66"	"4,69"	4
04:30.4	"39,70"	"4,65"	4
04:30.5	"39,79"	"4,69"	4
04:30.7	"39,66"	"4,65"	4
04:30.9	"39,58"	"4,57"	4
04:31.0	"39,54"	"4,57"	4
04:31.1	"39,50"	"4,57"	4
04:31.4	"39,49"	"4,44"	4
04:31.5	"39,53"	"4,24"	4
04:31.6	"39,65"	"3,86"	4
04:31.7	"39,77"	"3,29"	4
04:31.8	"39,77"	"3,24"	4
04:31.9	"39,89"	"3,20"	4
04:32.0	"39,81"	"3,24"	4
04:32.1	"39,85"	"3,24"	4
04:32.2	"39,94"	"3,28"	4
04:32.4	"39,98"	"3,37"	4
04:32.5	"39,98"	"3,41"	4
04:32.6	"40,02"	"3,41"	4
04:32.7	"40,06"	"3,49"	4
04:32.9	"40,15"	"3,57"	4
04:32.9	"40,14"	"3,57"	4
04:33.0	"40,23"	"3,61"	4
04:33.1	"40,23"	"3,65"	4
04:33.2	"40,27"	"3,69"	4
04:33.4	"40,27"	"3,65"	4
04:33.5	"40,31"	"3,57"	4
04:33.5	"40,31"	"3,61"	4
04:33.6	"40,39"	"3,48"	4
04:33.7	"40,43"	"3,40"	4
04:33.9	"40,48"	"3,52"	4
04:34.0	"40,48"	"3,53"	4
04:34.1	"41,18"	"3,52"	4
04:34.2	"41,38"	"3,52"	4
04:34.4	"41,42"	"3,47"	4
04:34.5	"41,95"	"2,40"	4
04:34.6	"42,23"	"1,98"	4
04:34.7	"42,31"	"1,94"	4
04:34.9	"42,35"	"1,90"	4
04:35.0	"42,23"	"1,86"	4
04:35.1	"42,27"	"1,65"	4
04:35.1	"42,27"	"1,69"	4
04:35.2	"42,47"	"1,40"	4
04:35.4	"42,60"	"1,36"	4
04:35.5	"42,64"	"1,36"	4
04:35.7	"42,64"	"1,44"	4
04:35.9	"42,64"	"1,36"	4
04:36.0	"42,75"	"0,45"	4
04:36.1	"43,36"	"-0,46"	4
04:36.2	"43,56"	"-0,71"	4
04:36.4	"43,85"	"-1,08"	4
04:36.5	"43,93"	"-1,25"	4
04:36.6	"43,97"	"-1,29"	4
04:36.7	"44,42"	"-1,67"	4
04:36.9	"44,50"	"-1,79"	4
04:37.1	"44,42"	"-1,83"	4
04:37.2	"44,58"	"-1,83"	4
04:44.2	"44,82"	"-1,78"	5
04:44.3	"44,82"	"-1,74"	5
04:44.4	"44,91"	"-1,04"	5
04:44.5	"44,99"	"-0,63"	5
04:44.6	"44,58"	"-0,42"	5
04:44.8	"44,30"	"-0,21"	5
04:44.9	"44,26"	"-0,13"	5
04:45.0	"44,25"	"-0,13"	5
04:45.0	"44,26"	"-0,04"	5
04:45.1	"44,26"	"0,00"	5
04:45.3	"44,13"	"-0,13"	5
04:45.4	"44,00"	"-0,37"	5
04:45.5	"43,92"	"-0,41"	5
04:45.6	"43,84"	"-0,37"	5
04:45.8	"43,63"	"-0,78"	5
04:45.9	"43,50"	"-1,07"	5
04:46.0	"43,58"	"-1,23"	5
04:46.1	"43,46"	"-1,40"	5
04:46.3	"43,49"	"-2,35"	5
04:46.4	"43,57"	"-2,63"	5
04:46.6	"43,57"	"-2,64"	5
04:46.8	"43,61"	"-2,68"	5
04:46.9	"43,57"	"-2,68"	5
04:47.1	"43,57"	"-2,72"	5
04:47.5	"43,57"	"-2,80"	5
04:47.6	"43,61"	"-2,88"	5
04:47.9	"43,65"	"-2,97"	5
04:48.0	"43,69"	"-3,01"	5
04:48.1	"43,73"	"-3,05"	5
04:48.5	"43,77"	"-3,13"	5
04:48.6	"43,82"	"-3,13"	5
04:48.8	"43,90"	"-3,25"	5
04:48.9	"44,01"	"-4,62"	5
04:49.0	"43,92"	"-5,07"	5
04:49.1	"43,92"	"-5,11"	5
04:49.3	"43,92"	"-5,19"	5
04:49.4	"43,92"	"-5,23"	5
04:49.5	"43,96"	"-5,23"	5
04:49.8	"44,00"	"-5,19"	5
04:49.9	"44,00"	"-5,23"	5
04:50.1	"44,08"	"-5,23"	5
04:50.2	"44,08"	"-5,24"	5
04:50.3	"44,08"	"-5,28"	5
04:50.4	"44,00"	"-5,27"	5
04:50.5	"44,04"	"-5,23"	5
04:50.5	"44,04"	"-5,27"	5
04:50.6	"44,04"	"-5,23"	5
04:50.9	"44,00"	"-5,23"	5
04:51.0	"44,00"	"-5,24"	5
04:51.1	"44,04"	"-5,24"	5
04:51.4	"44,08"	"-5,24"	5
04:51.5	"44,00"	"-5,24"	5
04:52.3	"43,96"	"-5,28"	5
04:52.4	"43,96"	"-5,24"	5
04:52.5	"43,96"	"-5,20"	5
04:52.6	"43,92"	"-5,20"	5
04:52.8	"44,45"	"-5,74"	5
04:52.9	"44,77"	"-6,03"	5
04:53.0	"44,81"	"-6,03"	5
04:53.1	"44,82"	"-6,03"	5
04:53.3	"44,81"	"-6,03"	5
04:53.4	"44,81"	"-6,07"	5
04:53.8	"44,90"	"-5,95"	5
04:53.9	"44,90"	"-5,87"	5
04:54.0	"44,90"	"-5,91"	5
04:54.1	"44,94"	"-5,87"	5
04:54.3	"44,99"	"-5,71"	5
04:54.4	"45,03"	"-5,62"	5
04:54.5	"45,03"	"-5,54"	5
04:54.6	"45,03"	"-5,46"	5
04:55.0	"45,03"	"-5,50"	5
04:55.1	"45,03"	"-5,54"	5
04:55.4	"45,03"	"-5,46"	5
04:55.6	"45,02"	"-5,46"	5
04:55.8	"45,02"	"-5,38"	5
04:55.9	"45,02"	"-5,34"	5
04:56.0	"45,02"	"-5,25"	5
04:56.2	"45,03"	"-5,25"	5
04:56.3	"45,02"	"-5,50"	5
04:56.4	"45,48"	"-5,46"	5
04:56.5	"45,52"	"-5,38"	5
04:56.6	"45,47"	"-5,42"	5
04:56.7	"45,48"	"-5,42"	5
04:56.8	"45,48"	"-5,46"	5
04:57.0	"45,52"	"-5,38"	5
04:57.1	"45,52"	"-5,26"	5
04:57.3	"45,48"	"-5,30"	5
04:57.5	"45,48"	"-5,34"	5
04:57.7	"45,53"	"-5,18"	5
04:57.8	"45,33"	"-4,64"	5
04:57.9	"45,33"	"-4,60"	5
04:58.0	"45,33"	"-4,64"	5
04:58.2	"45,32"	"-4,72"	5
04:58.4	"45,32"	"-4,76"	5
04:59.2	"45,28"	"-4,68"	5
04:59.3	"44,83"	"-4,55"	5
04:59.4	"44,79"	"-4,55"	5
04:59.5	"44,62"	"-4,67"	5
04:59.6	"44,63"	"-4,67"	5
04:59.7	"44,50"	"-4,75"	5
04:59.8	"44,46"	"-4,79"	5
04:59.9	"44,46"	"-4,84"	5
05:00.0	"44,50"	"-5,04"	5
