time	x	y	
02:32.1	"33,28"	"-18,68"	1
02:32.3	"33,28"	"-18,56"	1
02:32.4	"33,28"	"-18,47"	1
02:32.5	"32,04"	"-18,15"	1
02:32.7	"32,24"	"-17,32"	1
02:32.8	"32,99"	"-17,23"	1
02:32.9	"33,15"	"-17,19"	1
02:33.0	"33,11"	"-17,15"	1
02:33.2	"33,03"	"-17,15"	1
02:33.3	"32,91"	"-17,15"	1
02:33.4	"32,82"	"-17,19"	1
02:33.5	"32,78"	"-17,27"	1
02:33.7	"32,82"	"-17,40"	1
02:33.8	"32,78"	"-17,48"	1
02:33.9	"32,41"	"-17,52"	1
02:34.0	"28,67"	"-17,00"	1
02:34.2	"25,14"	"-14,19"	1
02:34.3	"27,18"	"-12,94"	1
02:34.4	"28,50"	"-14,36"	1
02:34.4	"28,00"	"-15,87"	1
02:34.5	"27,09"	"-16,08"	1
02:34.7	"27,13"	"-15,58"	1
02:34.8	"27,46"	"-15,54"	1
02:34.9	"27,54"	"-15,62"	1
02:35.0	"27,71"	"-16,28"	1
02:35.2	"27,71"	"-16,49"	1
02:35.3	"27,84"	"-16,49"	1
02:35.4	"27,80"	"-16,95"	1
02:35.5	"28,46"	"-16,44"	1
02:35.5	"28,47"	"-16,69"	1
02:35.7	"28,30"	"-16,94"	1
02:35.8	"27,93"	"-17,28"	1
02:35.9	"26,14"	"-17,07"	1
02:36.0	"23,77"	"-16,31"	1
02:36.1	"21,43"	"-17,99"	1
02:36.2	"21,28"	"-20,48"	1
02:36.3	"22,15"	"-20,94"	1
02:36.4	"23,27"	"-19,19"	1
02:36.5	"22,56"	"-19,19"	1
02:36.7	"22,35"	"-19,15"	1
02:36.7	"22,52"	"-18,48"	1
02:36.8	"22,56"	"-18,69"	1
02:36.9	"22,64"	"-18,94"	1
02:37.0	"22,69"	"-18,94"	1
02:37.0	"22,77"	"-19,31"	1
02:37.2	"22,90"	"-19,39"	1
02:37.3	"24,02"	"-19,97"	1
02:37.4	"24,06"	"-20,05"	1
02:37.5	"23,98"	"-20,26"	1
02:37.7	"23,93"	"-20,22"	1
02:37.7	"23,94"	"-20,22"	1
02:37.9	"24,10"	"-20,26"	1
02:38.0	"24,56"	"-20,30"	1
02:38.2	"24,97"	"-20,34"	1
02:38.3	"25,10"	"-20,30"	1
02:38.4	"25,14"	"-20,30"	1
02:38.5	"25,22"	"-20,34"	1
02:38.7	"25,43"	"-20,38"	1
02:38.8	"25,51"	"-20,34"	1
02:38.9	"25,60"	"-20,34"	1
02:39.0	"25,72"	"-20,34"	1
02:39.2	"26,05"	"-20,42"	1
02:39.3	"25,97"	"-20,46"	1
02:39.4	"25,80"	"-20,54"	1
02:39.5	"25,64"	"-20,63"	1
02:39.7	"25,51"	"-20,71"	1
02:39.8	"25,43"	"-20,71"	1
02:40.0	"25,88"	"-20,54"	1
02:40.2	"28,74"	"-19,75"	1
02:40.3	"29,28"	"-19,54"	1
02:40.4	"29,82"	"-19,41"	1
02:40.5	"30,32"	"-19,33"	1
02:40.7	"30,90"	"-19,20"	1
02:40.8	"32,60"	"-19,24"	1
02:40.9	"33,01"	"-19,28"	1
02:41.0	"33,26"	"-19,32"	1
02:41.2	"33,39"	"-19,28"	1
02:41.3	"33,47"	"-19,28"	1
02:41.4	"33,47"	"-19,27"	1
03:24.9	"39,39"	"13,05"	2
03:25.0	"38,85"	"12,26"	2
03:25.1	"38,52"	"12,09"	2
03:25.1	"38,52"	"12,10"	2
03:25.2	"38,02"	"12,01"	2
03:25.3	"37,98"	"12,01"	2
03:25.4	"37,69"	"11,84"	2
03:25.5	"37,65"	"11,72"	2
03:25.6	"37,52"	"11,68"	2
03:25.7	"37,40"	"11,59"	2
03:25.9	"37,44"	"11,59"	2
03:26.0	"37,52"	"11,59"	2
03:26.1	"37,52"	"11,55"	2
03:26.4	"37,52"	"11,51"	2
03:26.6	"37,52"	"11,47"	2
03:26.7	"37,52"	"11,43"	2
03:27.1	"37,48"	"11,38"	2
03:27.2	"37,48"	"11,34"	2
03:27.4	"37,44"	"11,30"	2
03:27.5	"37,19"	"11,22"	2
03:27.6	"36,70"	"10,93"	2
03:27.7	"36,03"	"10,55"	2
03:27.9	"34,91"	"10,80"	2
03:28.0	"33,54"	"11,04"	2
03:28.1	"32,88"	"11,04"	2
03:28.2	"32,51"	"11,00"	2
03:28.4	"30,44"	"8,91"	2
03:28.5	"30,31"	"8,58"	2
03:28.6	"30,23"	"8,25"	2
03:28.7	"30,11"	"8,21"	2
03:28.9	"30,23"	"8,08"	2
03:29.0	"30,45"	"6,47"	2
03:29.1	"29,74"	"5,26"	2
03:29.2	"28,74"	"5,26"	2
03:29.2	"26,58"	"5,25"	2
03:29.4	"26,05"	"6,05"	2
03:29.5	"25,96"	"6,05"	2
03:29.6	"25,84"	"6,09"	2
03:29.7	"25,80"	"6,13"	2
03:29.8	"25,76"	"6,13"	2
03:29.9	"23,97"	"6,96"	2
03:30.0	"22,52"	"6,08"	2
03:30.1	"22,56"	"5,83"	2
03:30.2	"22,77"	"5,62"	2
03:30.4	"22,85"	"5,62"	2
03:30.5	"22,94"	"5,62"	2
03:30.5	"22,94"	"5,63"	2
03:30.6	"23,02"	"5,58"	2
03:30.9	"23,10"	"5,67"	2
03:31.1	"23,18"	"5,71"	2
03:31.3	"23,14"	"5,71"	2
03:31.4	"23,18"	"5,71"	2
03:31.5	"23,23"	"5,75"	2
03:31.6	"23,27"	"5,79"	2
03:31.8	"23,35"	"5,83"	2
03:31.9	"23,23"	"5,75"	2
03:32.1	"23,81"	"4,96"	2
03:32.3	"23,57"	"2,43"	2
03:32.4	"23,57"	"2,35"	2
03:32.5	"23,65"	"2,35"	2
03:32.6	"23,36"	"2,02"	2
03:32.9	"22,00"	"0,10"	2
03:33.0	"21,96"	"-0,52"	2
03:33.1	"21,06"	"-3,38"	2
03:33.2	"21,06"	"-3,34"	2
03:33.3	"20,81"	"-4,38"	2
03:33.4	"20,65"	"-4,88"	2
03:33.6	"20,44"	"-5,46"	2
03:33.8	"20,40"	"-5,79"	2
03:33.9	"20,36"	"-5,84"	2
03:34.1	"19,62"	"-6,71"	2
03:34.3	"18,87"	"-8,41"	2
03:34.4	"18,83"	"-8,74"	2
03:34.5	"18,92"	"-8,91"	2
03:34.6	"18,92"	"-8,87"	2
03:34.6	"18,92"	"-9,08"	2
03:34.8	"18,88"	"-9,24"	2
03:35.0	"19,00"	"-9,28"	2
03:35.1	"19,12"	"-9,24"	2
03:35.3	"19,08"	"-9,37"	2
03:35.4	"19,08"	"-9,49"	2
03:35.5	"19,17"	"-9,45"	2
03:35.8	"19,25"	"-9,49"	2
03:35.9	"19,29"	"-9,45"	2
03:36.1	"19,33"	"-9,49"	2
03:36.3	"19,41"	"-9,53"	2
03:36.5	"19,54"	"-9,41"	2
03:36.6	"19,62"	"-9,49"	2
03:36.8	"19,58"	"-9,66"	2
03:36.9	"19,46"	"-9,41"	2
03:36.9	"19,45"	"-9,41"	2
03:37.0	"19,46"	"-9,49"	2
03:37.1	"19,45"	"-9,49"	2
03:37.3	"19,33"	"-9,49"	2
03:37.4	"19,25"	"-9,49"	2
03:37.6	"19,21"	"-9,49"	2
03:37.9	"19,17"	"-9,49"	2
03:38.0	"19,08"	"-9,83"	2
03:38.1	"18,96"	"-9,95"	2
03:38.3	"18,83"	"-9,91"	2
03:38.4	"18,58"	"-9,87"	2
03:38.5	"18,59"	"-9,87"	2
03:38.6	"18,54"	"-9,91"	2
03:38.8	"18,63"	"-9,91"	2
03:38.9	"18,71"	"-9,91"	2
03:39.0	"18,75"	"-9,95"	2
03:39.1	"18,71"	"-9,95"	2
03:39.6	"18,75"	"-9,90"	2
03:39.8	"18,80"	"-9,82"	2
03:40.1	"18,80"	"-9,90"	2
03:40.3	"18,76"	"-9,78"	2
03:40.4	"18,87"	"-8,10"	2
03:40.4	"20,55"	"-7,76"	2
03:40.5	"21,59"	"-7,88"	2
03:40.6	"20,24"	"-8,05"	2
03:40.8	"20,24"	"-8,26"	2
03:40.9	"20,33"	"-9,09"	2
03:41.0	"20,33"	"-9,08"	2
03:41.0	"21,25"	"-12,42"	2
03:41.1	"21,63"	"-13,08"	2
03:41.3	"22,21"	"-13,50"	2
03:41.5	"22,79"	"-13,58"	2
03:41.6	"22,84"	"-13,54"	2
03:41.7	"22,83"	"-13,54"	2
03:41.8	"22,96"	"-13,58"	2
03:41.9	"23,08"	"-13,66"	2
03:42.3	"23,04"	"-13,70"	2
03:43.2	"23,04"	"-13,71"	2
03:48.9	"23,85"	"-8,48"	3
03:48.9	"24,84"	"-6,81"	3
03:49.0	"24,84"	"-6,52"	3
03:49.2	"24,13"	"-5,32"	3
03:49.4	"20,10"	"-3,93"	3
03:49.5	"18,34"	"-0,80"	3
03:49.7	"17,70"	"0,40"	3
03:49.8	"17,66"	"0,65"	3
03:49.9	"17,82"	"1,11"	3
03:50.1	"17,83"	"1,11"	3
03:50.2	"17,87"	"1,28"	3
03:50.3	"17,78"	"1,40"	3
03:50.4	"17,78"	"1,65"	3
03:50.4	"17,78"	"1,61"	3
03:50.5	"17,44"	"4,55"	3
03:50.7	"17,61"	"5,09"	3
03:50.9	"17,94"	"5,14"	3
03:51.0	"18,31"	"4,89"	3
03:51.2	"19,02"	"4,19"	3
03:51.3	"19,14"	"3,94"	3
03:51.4	"19,15"	"3,94"	3
03:51.5	"19,23"	"3,81"	3
03:51.7	"19,69"	"3,57"	3
03:51.8	"20,35"	"3,15"	3
03:51.9	"20,47"	"3,20"	3
03:52.0	"20,47"	"3,24"	3
03:52.2	"20,48"	"3,24"	3
03:52.3	"20,52"	"3,20"	3
03:52.4	"20,43"	"3,07"	3
03:52.5	"20,64"	"1,70"	3
03:52.7	"20,69"	"1,46"	3
03:52.7	"20,69"	"1,45"	3
03:52.8	"20,73"	"1,29"	3
03:53.0	"20,77"	"1,12"	3
03:53.2	"21,15"	"0,34"	3
03:53.3	"22,02"	"-0,82"	3
03:53.4	"21,03"	"-1,49"	3
03:53.5	"19,79"	"-1,99"	3
03:53.8	"18,63"	"-2,37"	3
03:53.9	"17,93"	"-2,58"	3
03:54.0	"18,09"	"-2,45"	3
03:54.2	"18,46"	"-2,04"	3
03:54.3	"18,59"	"-1,99"	3
03:54.5	"18,58"	"-1,99"	3
03:54.5	"18,54"	"-1,95"	3
03:54.7	"18,67"	"-1,66"	3
03:54.8	"18,79"	"-1,58"	3
03:54.9	"18,87"	"-1,66"	3
03:55.0	"18,83"	"-1,74"	3
03:55.3	"18,79"	"-1,78"	3
03:57.1	"19,13"	"-1,95"	4
03:57.2	"19,05"	"-1,95"	4
03:57.4	"19,05"	"-1,82"	4
03:57.5	"19,13"	"-1,87"	4
03:57.7	"20,21"	"-0,54"	4
03:57.8	"20,62"	"-0,04"	4
03:58.0	"20,70"	"0,09"	4
03:58.2	"20,66"	"0,13"	4
03:58.3	"20,58"	"0,13"	4
03:58.4	"20,70"	"0,17"	4
03:58.5	"20,62"	"0,13"	4
03:58.8	"20,66"	"0,09"	4
03:58.9	"20,74"	"-0,03"	4
03:59.0	"20,07"	"2,37"	4
03:59.2	"21,64"	"3,16"	4
03:59.3	"21,85"	"3,16"	4
03:59.5	"21,85"	"3,21"	4
03:59.6	"21,85"	"3,20"	4
03:59.7	"21,89"	"3,16"	4
03:59.8	"22,72"	"3,21"	4
03:59.9	"22,72"	"3,17"	4
04:00.6	"22,76"	"3,17"	4
04:00.6	"22,72"	"3,13"	4
04:00.6	"22,76"	"3,17"	4
04:00.7	"22,72"	"3,13"	4
04:00.9	"22,76"	"3,13"	4
04:01.0	"22,76"	"3,17"	4
04:01.1	"22,76"	"3,13"	4
04:01.4	"22,81"	"3,13"	4
04:01.6	"22,80"	"3,13"	4
04:01.7	"22,89"	"3,09"	4
