time	frame	x	y	
01:16.6	-612	"23,13"	"-16,22"	1
01:16.8	-613	"23,13"	"-16,21"	1
01:16.9	-614	"23,13"	"-16,03"	1
01:17.0	-615	"23,13"	"-15,85"	1
01:17.1	-616	"23,22"	"-15,76"	1
01:17.3	-617	"23,22"	"-15,58"	1
01:17.4	-618	"23,22"	"-15,4"	1
01:17.5	-619	"23,4"	"-14,86"	1
01:17.6	-620	"23,67"	"-14,59"	1
01:17.8	-621	"24,12"	"-14,41"	1
01:17.9	-622	"25,29"	"-14,86"	1
01:18.0	-623	"25,56"	"-15,58"	1
01:18.1	-624	"25,3"	"-15,85"	1
01:18.3	-625	"25,29"	"-15,85"	1
01:18.4	-626	"25,02"	"-15,03"	1
01:18.5	-627	"25,56"	"-14,49"	1
01:18.6	-628	"26,28"	"-15,03"	1
01:18.8	-629	"26,37"	"-15,3"	1
01:18.9	-630	"26,29"	"-15,39"	1
01:19.0	-631	"26,47"	"-15,57"	1
01:19.1	-632	"25,92"	"-15,21"	1
01:19.3	-633	"25,93"	"-14,67"	1
01:19.4	-634	"26,29"	"-14,49"	1
01:19.5	-635	"26,38"	"-14,4"	1
01:19.6	-636	"26,47"	"-14,48"	1
01:19.8	-637	"26,74"	"-14,93"	1
01:19.9	-638	"26,47"	"-15,2"	1
01:20.0	-639	"25,75"	"-14,48"	1
01:20.1	-640	"26,47"	"-13,94"	1
01:20.3	-641	"26,74"	"-13,85"	1
01:20.4	-642	"27,1"	"-14,21"	1
01:20.5	-643	"27,19"	"-14,48"	1
01:20.6	-644	"27,19"	"-15,02"	1
01:20.8	-645	"26,47"	"-16,1"	1
01:20.9	-646	"26,29"	"-15,56"	1
01:21.0	-647	"26,2"	"-16,55"	1
01:21.1	-648	"25,21"	"-16,28"	1
01:21.3	-649	"25,93"	"-16,46"	1
01:21.4	-650	"25,84"	"-16,91"	1
01:21.5	-651	"25,84"	"-17,09"	1
01:21.6	-652	"24,76"	"-17,46"	1
01:21.8	-653	"23,86"	"-17,28"	1
01:21.9	-654	"23,59"	"-17,19"	1
01:22.0	-655	"23,5"	"-17,1"	1
01:22.1	-656	"23,41"	"-16,83"	1
01:22.3	-657	"23,77"	"-16,29"	1
01:22.4	-658	"24,22"	"-15,84"	1
01:22.5	-659	"24,4"	"-15,65"	1
01:22.6	-660	"24,76"	"-15,92"	1
01:22.8	-661	"24,76"	"-16,38"	1
01:22.9	-662	"24,67"	"-16,47"	1
01:23.0	-663	"24,49"	"-16,47"	1
01:23.1	-664	"24,22"	"-15,84"	1
01:23.3	-665	"24,49"	"-15,57"	1
01:23.4	-666	"24,58"	"-15,47"	1
01:23.5	-667	"24,67"	"-15,38"	1
01:23.6	-668	"25,03"	"-15,56"	1
01:23.8	-669	"25,21"	"-16,1"	1
01:23.9	-670	"24,49"	"-16,73"	1
01:24.0	-671	"23,86"	"-15,83"	1
01:24.1	-672	"24,31"	"-15,74"	1
01:24.3	-673	"24,31"	"-16,82"	1
01:24.4	-674	"23,32"	"-16,92"	1
01:24.5	-675	"23,05"	"-16,65"	1
01:24.7	-676	"23,32"	"-15,84"	1
01:24.8	-677	"24,13"	"-15,2"	1
01:24.9	-678	"24,59"	"-15,83"	1
01:25.0	-679	"24,67"	"-16,1"	1
01:25.2	-680	"24,58"	"-16,19"	1
01:25.3	-681	"24,49"	"-16,29"	1
01:25.4	-682	"24,13"	"-15,92"	1
01:25.5	-683	"24,31"	"-15,56"	1
01:25.7	-684	"25,03"	"-15,56"	1
01:25.8	-685	"25,58"	"-16,28"	1
01:25.9	-686	"25,67"	"-16,72"	1
01:26.0	-687	"25,31"	"-17,27"	1
01:26.2	-688	"24,32"	"-17,9"	1
01:26.3	-689	"23,51"	"-17,27"	1
01:26.4	-690	"24,32"	"-16,64"	1
01:26.5	-691	"23,96"	"-17,36"	1
01:26.6	-692	"23,33"	"-16,73"	1
01:26.8	-693	"24,14"	"-16,63"	1
01:26.9	-694	"24,6"	"-17,63"	1
01:27.0	-695	"23,7"	"-18,35"	1
01:27.2	-696	"23,24"	"-17,54"	1
01:27.3	-697	"23,43"	"-17,17"	1
01:27.4	-698	"23,7"	"-17,08"	1
01:27.5	-699	"24,06"	"-17,8"	1
01:27.7	-700	"23,79"	"-18,79"	1
01:27.8	-701	"22,98"	"-18,88"	1
01:27.9	-702	"23,16"	"-18,43"	1
01:28.0	-703	"23,7"	"-18,7"	1
01:28.1	-704	"23,07"	"-18,97"	1
01:28.3	-705	"23,97"	"-17,98"	1
01:28.4	-706	"24,69"	"-18,61"	1
01:28.5	-707	"23,97"	"-18,43"	1
01:28.7	-708	"24,6"	"-17,98"	1
01:28.8	-709	"24,33"	"-18,62"	1
01:28.9	-710	"23,79"	"-18,08"	1
01:29.0	-711	"24,15"	"-17,53"	1
01:29.2	-712	"24,6"	"-17,26"	1
01:29.3	-713	"25,14"	"-17,44"	1
01:29.4	-714	"25,32"	"-17,62"	1
01:29.5	-715	"25,42"	"-17,53"	1
01:29.7	-716	"25,51"	"-17,44"	1
01:29.8	-717	"25,59"	"-17,35"	1
01:29.9	-718	"25,51"	"-17,26"	1
01:30.0	-719	"25,6"	"-17,17"	1
01:30.2	-720	"25,6"	"-16,99"	1
01:30.3	-721	"25,69"	"-16,9"	1
01:30.4	-722	"25,33"	"-17,26"	1
01:30.5	-723	"24,16"	"-17,26"	1
01:30.7	-724	"24,43"	"-16,54"	1
01:30.8	-725	"24,78"	"-17,26"	1
01:30.9	-726	"24,16"	"-17,99"	1
01:31.0	-727	"23,88"	"-17,44"	1
01:31.2	-728	"24,15"	"-17,35"	1
01:31.3	-729	"23,89"	"-17,81"	1
01:31.4	-730	"22,36"	"-17,63"	1
01:31.5	-731	"22,45"	"-17,54"	1
01:31.7	-732	"21,82"	"-17,99"	1
01:31.8	-733	"21,64"	"-17,81"	1
01:31.9	-734	"21,55"	"-17,73"	1
01:32.0	-735	"21,46"	"-17,28"	1
01:32.2	-736	"21,82"	"-16,74"	1
01:32.3	-737	"22,81"	"-16,73"	1
01:32.4	-738	"22,9"	"-17,54"	1
01:32.5	-739	"22,27"	"-16,91"	1
01:32.7	-740	"23,08"	"-16,37"	1
01:32.8	-741	"23,71"	-17	1
01:32.9	-742	"22,81"	"-17,81"	1
01:33.0	-743	"22,54"	"-17,36"	1
01:33.2	-744	"22,72"	"-17,18"	1
01:33.3	-745	"22,73"	"-17,55"	1
01:33.4	-746	"21,64"	"-17,37"	1
01:33.5	-747	"21,64"	"-16,65"	1
01:33.7	-748	"22,18"	"-16,47"	1
01:33.8	-749	"22,54"	"-16,83"	1
01:33.9	-750	"22,09"	"-17,64"	1
01:34.0	-751	"21,82"	"-17,55"	1
01:34.2	-752	"21,46"	"-16,83"	1
01:34.3	-753	"21,36"	"-15,84"	1
01:34.4	-754	"22,18"	"-15,39"	1
01:34.5	-755	"22,63"	"-15,47"	1
01:34.7	-756	"22,9"	"-15,38"	1
01:34.8	-757	"23,07"	"-15,2"	1
01:34.9	-758	"23,16"	"-14,93"	1
01:35.0	-759	"23,25"	"-15,02"	1
01:35.2	-760	"23,16"	"-15,11"	1
01:35.3	-761	"23,16"	"-15,11"	1
01:35.4	-762	"23,34"	"-15,11"	1
01:35.5	-763	"23,43"	"-15,02"	1
01:35.7	-764	"23,52"	"-14,93"	1
01:35.8	-765	"23,34"	"-14,93"	1
01:35.9	-766	"23,25"	"-15,02"	1
01:36.0	-767	"23,16"	"-14,94"	1
01:36.2	-768	"23,07"	"-15,2"	1
