time	x	y	
02:36.8	"22,73"	"-9,31"	3
02:36.9	"20,8"	"-9,32"	3
02:37.0	"19,51"	"-10,53"	3
02:37.2	"20,8"	"-12,77"	3
02:37.3	"22,16"	"-12,01"	3
02:37.4	"21,96"	"-11,65"	3
02:37.5	"21,8"	"-12,01"	3
02:37.8	22	"-12,09"	3
02:37.9	"25,01"	"-14,22"	3
02:38.0	"26,02"	"-14,82"	3
02:38.2	"26,22"	"-14,94"	3
02:38.3	"26,3"	"-15,02"	3
02:38.4	"26,54"	"-15,22"	3
02:38.5	"27,74"	"-16,55"	3
02:38.7	"26,9"	"-18,07"	3
02:38.8	"26,58"	"-16,63"	3
02:38.8	"26,62"	"-16,59"	3
02:38.9	"29,15"	"-17,55"	3
02:39.0	"28,87"	"-18,31"	3
02:39.2	"28,38"	"-17,63"	3
02:39.3	"28,3"	"-17,31"	3
02:39.4	"28,39"	"-17,15"	3
02:39.5	"29,19"	"-17,03"	3
02:39.7	"30,71"	"-17,59"	3
02:39.7	"30,71"	"-17,55"	3
02:39.8	"31,15"	"-18,11"	3
02:39.9	"31,36"	"-18,35"	3
02:40.0	"31,27"	"-18,6"	3
02:40.1	"31,27"	"-18,59"	3
02:40.2	"29,67"	"-19,75"	3
03:03.4	"20,1"	"-20,1"	4
03:03.5	"18,64"	"-16,46"	4
03:03.6	"18,24"	"-14,96"	4
03:03.7	"18,04"	"-14,72"	4
03:03.8	"18,08"	"-14,64"	4
03:04.0	"18,24"	"-15,28"	4
03:04.1	"19,57"	"-14,51"	4
03:04.2	"18,81"	"-11,92"	4
03:04.3	"14,22"	"-10,35"	4
03:04.5	"14,02"	"-10,39"	4
03:04.6	"14,18"	"-10,39"	4
03:04.7	"14,14"	"-10,19"	4
03:04.8	"14,02"	"-10,03"	4
03:04.9	"14,03"	"-10,03"	4
03:05.0	"14,03"	"-10,07"	4
03:05.1	"14,19"	"-9,79"	4
03:05.2	"14,15"	"-9,43"	4
03:05.3	"13,94"	"-9,31"	4
03:05.5	"13,5"	"-9,83"	4
03:05.6	"13,46"	"-9,87"	4
03:05.7	"13,66"	"-9,87"	4
03:05.8	"13,94"	"-9,75"	4
03:06.0	"13,98"	"-9,71"	4
03:06.1	"14,02"	"-9,67"	4
03:06.2	"13,22"	"-10,55"	4
03:06.3	"11,41"	"-10,19"	4
03:06.5	"10,49"	"-9,11"	4
03:06.6	"10,53"	"-8,91"	4
03:06.7	"10,77"	"-8,67"	4
03:06.8	"11,45"	"-8,02"	4
03:06.9	"11,49"	"-8,02"	4
03:07.0	"13,38"	"-7,98"	4
03:07.1	"14,18"	"-8,38"	4
03:07.2	"14,22"	"-8,59"	4
03:07.3	"14,14"	"-8,91"	4
03:07.5	"12,9"	"-11,52"	4
03:07.6	"10,09"	"-12,82"	4
03:07.7	"8,2"	"-12,54"	4
03:07.8	"7,96"	"-12,18"	4
03:08.0	"7,84"	"-11,98"	4
03:08.1	"9,17"	"-10,49"	4
03:08.2	"11,01"	"-7,57"	4
03:08.3	"12,74"	"-5,89"	4
03:08.5	"14,32"	"-5,3"	4
03:08.6	"14,48"	"-6,19"	4
03:08.7	"14,32"	"-6,39"	4
03:08.8	"13,37"	"-7,93"	4
03:09.0	"13,85"	"-11,16"	4
03:09.1	"14,09"	"-11,84"	4
03:09.2	"13,97"	"-11,92"	4
03:09.3	"15,02"	"-14,08"	4
03:09.5	"17,21"	"-15,19"	4
03:09.6	"17,05"	"-14,95"	4
03:09.7	"15,98"	"-16,03"	4
03:09.8	"17,38"	"-18,09"	4
03:10.0	"17,74"	"-16,4"	4
03:10.1	"16,1"	"-16,56"	4
03:10.2	"17,98"	"-17,6"	4
03:10.3	"17,26"	"-15,32"	4
03:10.5	"16,06"	"-15,16"	4
03:10.6	"15,9"	"-15,4"	4
03:10.7	"16,1"	"-15,4"	4
03:10.8	"17,94"	"-14,75"	4
03:11.0	"18,75"	"-12,39"	4
03:11.1	"18,18"	"-12,39"	4
03:11.2	"18,38"	"-12,79"	4
03:11.4	"18,79"	"-13,07"	4
03:11.4	"18,75"	"-13,07"	4
03:11.5	"20,35"	"-12,35"	4
03:11.6	"20,11"	"-11,26"	4
03:11.7	"20,11"	"-11,42"	4
03:11.9	"20,43"	"-11,34"	4
03:12.0	"20,67"	"-11,14"	4
03:12.1	"20,13"	"-7,09"	4
03:12.2	"18,57"	"-4,32"	4
03:12.4	"17,96"	"-3,71"	4
03:12.5	"17,84"	"-3,84"	4
03:12.6	18	"-4,08"	4
03:12.7	"20,62"	"-5,61"	4
03:12.9	"24,09"	"-4,99"	4
03:13.0	"24,7"	"-2,94"	4
03:13.1	"22,1"	"-2,18"	4
03:13.2	"20,19"	"-4,43"	4
03:13.4	"21,84"	"-5,63"	4
03:13.5	"21,88"	"-4,27"	4
03:13.6	"19,95"	"-4,67"	4
03:13.9	"23,82"	"-3,44"	4
03:14.0	"22,63"	"-1,39"	4
03:14.1	"20,28"	"-3,33"	4
03:14.2	"20,39"	"-5,81"	4
03:14.4	"22,16"	"-6,34"	4
03:14.6	"22,08"	"-3,1"	4
03:14.7	"21,79"	"-4,31"	4
03:14.9	"22,32"	"-4,31"	4
03:15.0	"22,44"	"-4,23"	4
03:15.1	"22,28"	"-3,95"	4
03:15.2	"20,15"	"-2,14"	4
03:15.4	"18,18"	"-2,78"	4
03:15.5	"18,46"	"-3,19"	4
03:15.6	"19,83"	"-3,47"	4
03:15.7	"22,8"	"-2,14"	4
03:15.9	"25,91"	"-1,24"	4
03:16.0	"25,19"	"-1,24"	4
03:16.0	"25,23"	"-1,28"	4
03:16.1	"25,63"	"0,93"	4
03:16.2	"27,68"	"2,21"	4
03:16.4	"27,92"	"3,12"	4
03:16.5	"26,4"	"6,35"	4
03:16.7	"26,76"	"6,99"	4
03:34.7	"21,29"	"2,6"	5
03:34.8	"21,57"	"2,68"	5
03:34.9	"22,25"	"1,27"	5
03:35.0	"19,12"	"4,4"	5
03:35.1	"19,4"	"5,12"	5
03:35.3	"19,32"	"5,12"	5
03:35.3	"19,28"	"5,12"	5
03:35.5	"19,36"	"4,88"	5
03:35.6	"18,8"	"4,48"	5
03:35.8	"18,96"	"2,68"	5
03:35.9	"19,6"	"1,35"	5
03:36.0	"22,63"	"-3,08"	5
03:36.3	"22,79"	"-3,08"	5
03:36.4	"21,66"	"-4,65"	5
03:36.5	"19,7"	"-7,21"	5
03:36.6	"19,74"	"-7,13"	5
03:36.6	"19,07"	"-11,47"	5
03:36.9	"20,31"	"-12,48"	5
03:37.0	"20,96"	"-11,96"	5
03:37.1	"19,91"	"-10,35"	5
03:37.3	"19,55"	"-12,92"	5
03:37.4	"21,12"	"-13,4"	5
03:37.6	"21,52"	"-12,6"	5
03:37.8	"21,08"	"-12,56"	5
03:37.9	"20,07"	"-13,56"	5
03:38.0	"18,51"	"-15,61"	5
03:38.1	"18,43"	"-16,25"	5
03:38.4	"20,23"	"-16,81"	5
03:38.5	"22,44"	"-14,73"	5
03:38.6	"21,92"	"-14,4"	5
03:38.8	"21,64"	"-14,97"	5
03:38.9	"24,65"	"-16,05"	5
03:39.1	"25,52"	"-14,85"	5
03:39.3	"25,44"	"-14,53"	5
03:39.4	"24,43"	"-14,73"	5
03:39.5	"22,63"	"-16,45"	5
03:39.8	"21,67"	"-17,62"	5
03:39.9	"21,38"	"-17,94"	5
03:40.0	"21,49"	"-20,32"	5
04:32.3	"16,21"	"-13,83"	6
04:32.4	"17,09"	"-13,67"	6
04:32.5	"18,09"	"-13,07"	6
04:32.6	"18,25"	"-12,87"	6
04:32.7	"18,09"	"-12,75"	6
04:32.9	"18,09"	"-12,63"	6
04:33.0	"17,17"	"-13,07"	6
04:33.1	"16,85"	"-13,15"	6
04:33.2	"16,45"	"-13,47"	6
04:33.4	"16,37"	"-13,47"	6
04:33.5	"16,21"	"-13,35"	6
04:33.6	"16,01"	"-12,95"	6
04:33.7	"14,92"	"-11,55"	6
04:33.9	"13,12"	"-10,38"	6
04:34.0	"11,79"	"-10,71"	6
04:34.1	"11,63"	"-12,15"	6
04:34.2	"12,39"	"-13,19"	6
04:34.3	"12,4"	"-13,19"	6
04:34.4	"13,72"	"-13,63"	6
04:34.5	"14,16"	"-13,59"	6
04:34.6	"14,32"	"-13,59"	6
04:34.7	"14,32"	"-13,63"	6
04:34.7	"14,56"	"-13,43"	6
04:34.9	"14,56"	"-13,23"	6
04:35.0	"14,48"	"-12,95"	6
04:35.1	"13,88"	"-10,58"	6
04:35.2	"13,84"	"-8,74"	6
04:35.4	"13,96"	"-8,66"	6
04:35.5	"14,16"	"-8,5"	6
04:35.6	"15,61"	"-8,42"	6
04:35.7	"17,57"	"-8,5"	6
04:35.8	"17,61"	"-8,5"	6
04:35.9	"18,58"	"-8,42"	6
04:36.0	"18,86"	"-8,1"	6
04:36.1	"18,94"	"-4,86"	6
04:36.2	"18,98"	"-4,7"	6
04:36.2	"18,98"	"-4,38"	6
04:36.4	"19,06"	"-4,38"	6
04:36.5	"18,98"	"-4,54"	6
04:36.6	"20,58"	"-5,19"	6
04:36.7	"20,74"	"-2,14"	6
04:36.9	"21,83"	"0,59"	6
04:37.0	"26,36"	"2,84"	6
04:37.1	"28,17"	"3,72"	6
04:37.2	"31,1"	"4,89"	6
04:37.4	"31,62"	"6,09"	6
04:37.5	"30,9"	"6,65"	6
04:37.6	"25,96"	"4,16"	6
04:37.8	"24,67"	"5,05"	6
04:37.8	"24,68"	"5,05"	6
04:37.9	"21,87"	"6,33"	6
04:38.0	"17,63"	"4,02"	6
04:38.1	"17,27"	"0,89"	6
04:38.3	"17,06"	"-2,12"	6
04:38.4	"16,18"	"-2,36"	6
04:38.5	"14,56"	"-1,39"	6
04:38.6	"14,64"	"0,7"	6
04:38.8	"15,81"	"2,07"	6
04:38.9	"17,29"	"0,6"	6
04:39.0	"15,81"	"-1,08"	6
04:39.1	"14,16"	"-1,52"	6
04:39.3	"11,79"	"-3,01"	6
04:39.4	"10,44"	"-8,64"	6
04:39.5	"11,72"	"-11,37"	6
04:39.6	"11,6"	"-11,21"	6
04:39.8	"11,48"	"-11,53"	6
04:39.9	"9,64"	"-11,96"	6
