time	frame	x	y	
02:22.6	-1139	"3,14"	"-20,25"	2
02:22.7	-1140	"1,75"	"-19,83"	2
02:22.9	-1141	"1,73"	"-18,31"	2
02:23.0	-1142	"2,08"	"-17,86"	2
02:23.1	-1143	"2,35"	"-17,59"	2
02:23.2	-1144	"2,62"	"-17,49"	2
02:23.4	-1145	"3,78"	"-17,12"	2
02:23.5	-1146	"4,58"	"-17,28"	2
02:23.6	-1147	"5,41"	"-18,35"	2
02:23.7	-1148	"4,62"	"-19,79"	2
02:23.9	-1149	"3,55"	"-19,54"	2
02:24.0	-1150	"4,23"	"-17,65"	2
02:24.1	-1151	"6,39"	"-17,79"	2
02:24.2	-1152	"6,85"	"-18,68"	2
02:24.4	-1153	"5,86"	"-18,87"	2
02:24.5	-1154	"5,84"	"-17,35"	2
02:24.6	-1155	"7,24"	"-14,84"	2
02:24.7	-1156	"9,1"	"-13,76"	2
02:24.9	-1157	"9,99"	"-15,02"	2
02:25.0	-1158	"9,09"	"-14,67"	2
02:25.1	-1159	"9,62"	"-14,22"	2
02:25.3	-1160	"10,07"	"-14,3"	2
