time	x	y	
03:01.9	"38,92"	"-15,68"	1
03:02.0	"38,42"	"-15,47"	1
03:02.1	"37,64"	"-15,29"	1
03:02.2	"36,61"	"-15,08"	1
03:02.3	"33,93"	"-14,85"	1
03:02.5	"33,43"	"-15,42"	1
03:02.6	"33,45"	"-17,93"	1
03:02.7	"34,68"	"-18,65"	1
03:02.8	"35,62"	"-18,81"	1
03:02.8	"36,70"	"-18,04"	1
03:03.0	"37,46"	"-15,74"	1
03:03.1	"40,02"	"-11,51"	1
03:03.2	"41,58"	"-8,59"	1
03:03.3	"41,64"	"-6,24"	1
03:03.5	"40,45"	"-5,32"	1
03:03.6	"36,72"	"-3,43"	1
03:03.6	"37,05"	"-2,02"	1
03:03.7	"37,24"	"0,90"	1
03:03.8	"36,75"	"1,65"	1
03:04.0	"33,59"	"2,83"	1
03:04.0	"30,14"	"1,93"	1
03:04.1	"24,20"	"-0,45"	1
03:04.2	"21,47"	"-1,99"	1
03:04.3	"20,56"	"-2,16"	1
03:04.5	"17,91"	"-1,51"	1
03:04.6	"17,18"	"-0,43"	1
03:04.7	"17,06"	"0,64"	1
03:04.8	"17,03"	"1,59"	1
03:05.0	"16,87"	"2,62"	1
03:05.1	"16,79"	"2,95"	1
03:05.2	"17,19"	"0,84"	1
03:05.3	"17,76"	"0,84"	1
03:05.5	"17,52"	"1,79"	1
03:05.6	"16,34"	"3,04"	1
03:05.7	"15,32"	"4,04"	1
03:05.8	"14,46"	"5,03"	1
03:05.9	"14,46"	"5,04"	1
03:06.0	"13,60"	"5,08"	1
03:06.1	"12,80"	"3,81"	1
03:06.2	"12,37"	"1,92"	1
03:06.3	"12,32"	"0,93"	1
03:06.5	"12,28"	"0,89"	1
03:10.3	"12,66"	"-0,12"	2
03:10.5	"12,25"	"0,71"	2
03:10.6	"11,35"	"1,38"	2
03:10.7	"10,98"	"1,59"	2
03:10.8	"10,69"	"1,67"	2
03:11.0	"10,53"	"1,71"	2
03:11.0	"10,53"	"1,72"	2
03:11.1	"10,40"	"1,76"	2
03:11.2	"10,32"	"1,80"	2
03:11.3	"10,65"	"1,80"	2
03:11.5	"11,31"	"1,87"	2
03:11.6	"12,01"	"2,07"	2
03:11.7	"12,63"	"2,23"	2
03:11.8	"12,80"	"2,27"	2
03:12.0	"12,88"	"2,27"	2
03:12.1	"12,88"	"2,15"	2
03:12.2	"12,92"	"1,98"	2
03:12.3	"12,92"	"1,94"	2
03:12.3	"12,92"	"1,86"	2
03:12.5	"12,96"	"1,78"	2
03:12.6	"12,96"	"1,70"	2
03:12.7	"13,04"	"1,70"	2
03:12.8	"13,04"	"1,69"	2
03:12.8	"13,09"	"2,15"	2
03:13.0	"14,47"	"4,40"	2
03:13.1	"15,13"	"4,85"	2
03:13.2	"15,55"	"5,09"	2
03:13.3	"15,75"	"5,17"	2
03:13.5	"15,79"	"5,17"	2
03:13.6	"15,92"	"5,17"	2
03:13.7	"16,04"	"5,25"	2
03:13.8	"16,17"	"5,33"	2
03:14.0	"16,33"	"5,42"	2
03:14.1	"16,66"	"5,33"	2
03:14.2	"16,83"	"5,25"	2
03:14.3	"16,79"	"5,25"	2
03:14.5	"16,83"	"5,21"	2
03:14.6	"17,48"	"4,79"	2
03:14.7	"18,10"	"4,70"	2
03:14.8	"18,14"	"4,66"	2
03:14.9	"18,47"	"4,57"	2
03:15.0	"18,80"	"4,49"	2
03:15.1	"18,92"	"4,44"	2
03:15.2	"18,92"	"4,36"	2
03:15.4	"18,96"	"4,03"	2
03:15.5	"19,00"	"3,41"	2
03:15.6	"18,87"	"3,08"	2
03:15.7	"18,41"	"2,64"	2
03:15.9	"18,12"	"2,35"	2
03:16.0	"17,91"	"2,06"	2
03:16.1	"18,34"	"-1,89"	2
03:16.2	"18,95"	"-2,64"	2
03:16.4	"19,16"	"-2,89"	2
03:16.5	"19,28"	"-3,06"	2
03:16.7	"19,28"	"-3,14"	2
03:16.9	"19,28"	"-3,43"	2
03:17.0	"19,28"	"-3,55"	2
03:17.1	"19,24"	"-3,47"	2
03:17.2	"19,12"	"-3,02"	2
03:17.3	"19,12"	"-3,01"	2
03:17.4	"19,33"	"-2,48"	2
03:17.5	"19,63"	"-1,12"	2
03:17.6	"19,60"	"0,44"	2
