time	frame	x	y	
4:19.60	-7788	7,35	8,59	2
4:19.73	-7792	7,39	8,59	2
4:19.83	-7795	7,47	8,59	2
4:19.97	-7799	7,51	8,55	2
4:20.10	-7803	7,47	8,63	2
4:20.23	-7807	7,63	8,63	2
4:20.33	-7810	7,78	8,59	2
4:20.47	-7814	7,86	8,59	2
4:20.60	-7818	8,98	7,92	2
4:20.73	-7822	9,38	7,09	2
4:20.83	-7825	8,23	7,48	2
4:20.97	-7829	7,95	7,72	2
4:21.07	-7832	7,95	7,71	2
4:21.10	-7833	7,99	7,75	2
4:21.13	-7834	7,99	7,76	2
4:21.23	-7837	8,03	7,76	2
4:21.33	-7840	7,91	7,87	2
4:21.47	-7844	7,31	8,35	2
4:21.60	-7848	6,06	10,33	2
