time 	frame	x	y	
3:00.20	-5406	24,03	16,62	2
3:00.33	-5410	24,06	17,1	2
3:00.57	-5417	24,14	17,42	2
3:00.70	-5421	24,26	17,34	2
3:00.83	-5425	24,1	18,14	2
3:00.93	-5428	23,78	19,02	2
3:01.07	-5432	23,78	19,46	2
3:01.20	-5436	23,77	19,58	2
3:01.27	-5438	23,78	19,58	2
3:01.33	-5440	23,81	19,62	2
3:01.47	-5444	23,85	19,66	2
3:01.57	-5447	23,89	19,86	2
3:01.70	-5451	23,93	19,9	2
3:01.83	-5455	23,97	19,98	2
3:01.97	-5459	25,33	20,43	2
3:02.07	-5462	25,49	20,43	2
3:02.20	-5466	25,65	20,43	2
3:02.33	-5470	25,73	20,43	2
3:02.70	-5481	26,05	20,43	2
3:02.83	-5485	26,41	20,43	2
3:02.97	-5489	27,6	21,01	2
3:03.07	-5492	27,56	21,05	2
3:03.20	-5496	27,48	21,05	2
3:03.47	-5504	27,97	22,2	2
4:13.03	-7591	31,81	21,68	3
4:13.07	-7592	31,73	21,6	3
4:13.20	-7596	30,88	21	3
4:13.33	-7600	28,98	20,29	3
4:13.43	-7603	28,46	20,33	3
4:13.57	-7607	28,18	20,33	3
4:13.70	-7611	27,9	20,37	3
4:13.73	-7612	27,9	20,36	3
4:13.83	-7615	27	20,04	3
4:13.93	-7618	26,84	20,04	3
4:14.07	-7622	26,96	20,04	3
4:14.20	-7626	27	20,05	3
4:14.43	-7633	27,04	20,05	3
4:14.57	-7637	26,96	20,05	3
4:14.70	-7641	26,92	20,05	3
4:14.83	-7645	26,96	20,05	3
4:14.97	-7649	26,8	20,09	3
4:15.07	-7652	26,72	20,09	3
4:15.47	-7664	26,84	20,05	3
4:15.57	-7667	26,6	20,09	3
4:15.70	-7671	26,2	20,13	3
4:15.83	-7675	26,12	20,17	3
4:15.97	-7679	26	20,17	3
4:16.07	-7682	25,04	19,28	3
4:16.20	-7686	23,92	18,03	3
4:16.33	-7690	23,61	17,59	3
4:16.47	-7694	22,93	16,27	3
4:16.57	-7697	22,5	14,3	3
4:16.70	-7701	22,79	11,08	3
4:16.73	-7702	22,75	10,76	3
4:16.83	-7705	20,55	8,17	3
4:16.97	-7709	16,92	7,32	3
