time	frame	x	y	
2:33.60	-4608	24,23	20,85	1
2:33.67	-4610	23,87	20,29	1
2:33.77	-4613	23,78	17,88	1
2:33.90	-4617	24,23	17,48	1
2:34.03	-4621	24,43	17,32	1
2:34.17	-4625	24,63	17,2	1
2:34.27	-4628	26,07	14,55	1
2:34.40	-4632	27,32	12,18	1
2:34.53	-4636	28,36	12,47	1
2:34.60	-4638	28,36	12,46	1
2:34.67	-4640	28,88	12,62	1
2:34.70	-4641	28,92	12,62	1
2:34.77	-4643	29,52	12,42	1
2:34.90	-4647	30,21	12,02	1
2:34.97	-4649	30,16	12,02	1
2:35.00	-4650	30,16	12,06	1
2:35.03	-4651	30,33	11,14	1
2:35.17	-4655	27,3	7,38	1
2:35.27	-4658	23,93	4,45	1
2:35.40	-4662	22,94	0,45	1
2:35.53	-4666	23,1	-2,6	1
2:35.67	-4670	23,58	-5,45	1
2:35.77	-4673	23,42	-7,06	1
2:35.90	-4677	22,7	-7,82	1
2:36.03	-4681	17,24	-7,58	1
2:36.17	-4685	13,87	-7,22	1
2:36.27	-4688	9,9	-8,64	1
2:36.40	-4692	7,93	-10,29	1
2:36.53	-4696	8,49	-11,13	1
2:36.67	-4700	9,49	-11,29	1
2:36.80	-4704	10,37	-11,29	1
2:36.90	-4707	11,18	-11,01	1
2:37.03	-4711	11,78	-10,65	1
2:37.17	-4715	11,86	-10,41	1
2:37.30	-4719	11,38	-10,37	1
2:37.40	-4722	10,33	-10,13	1
2:37.53	-4726	9,93	-9,77	1
2:37.67	-4730	9,77	-9,65	1
2:37.80	-4734	9,69	-9,65	1
2:37.90	-4737	9,73	-9,69	1
2:38.03	-4741	9,81	-9,69	1
2:38.17	-4745	9,85	-9,69	1
2:38.30	-4749	9,93	-9,77	1
2:38.40	-4752	10,13	-9,77	1
2:38.53	-4756	11,49	-7,08	1
2:38.67	-4760	11,66	-5,83	1
2:38.80	-4764	9,93	-4,19	1
2:38.90	-4767	9,17	-3,79	1
2:39.03	-4771	8,36	-3,55	1
2:39.17	-4775	7,84	-3,47	1
2:39.30	-4779	7,64	-3,39	1
2:39.40	-4782	7,6	-3,43	1
