time	frame	x	y	
1:47.97	-3239	46,75	2,81	1
1:48.07	-3242	45,5	4,27	1
1:48.20	-3246	44,09	5,31	1
1:48.33	-3250	43,45	5,79	1
1:48.47	-3254	42,25	6,19	1
1:48.57	-3257	39,72	6,59	1
1:48.70	-3261	38,76	7	1
1:48.83	-3265	37,99	7,44	1
1:48.97	-3269	37,47	10,09	1
1:49.07	-3272	39,08	11,65	1
1:49.20	-3276	40,4	12,61	1
1:49.33	-3280	41,81	12,73	1
1:49.47	-3284	42,09	12,49	1
1:49.57	-3287	42,41	12,21	1
1:49.70	-3291	42,45	12,01	1
1:49.73	-3292	42,45	11,97	1
1:49.83	-3295	42,37	11,81	1
1:49.97	-3299	42,09	11,61	1
1:50.10	-3303	41,85	11,45	1
1:50.20	-3306	41,56	11,25	1
1:50.33	-3310	41,32	11,13	1
1:50.47	-3314	41,08	10,97	1
1:50.60	-3318	40,84	10,85	1
1:50.70	-3321	40,64	10,73	1
1:50.83	-3325	40,44	10,61	1
1:50.97	-3329	40,24	10,49	1
1:51.10	-3333	40,08	10,41	1
1:51.20	-3336	39,92	10,29	1
1:51.33	-3340	39,76	10,21	1
1:51.47	-3344	39,6	10,13	1
1:51.60	-3348	39,48	10,09	1
1:51.70	-3351	39,32	10,01	1
1:51.83	-3355	39,2	9,93	1
1:51.97	-3359	39,08	9,85	1
1:52.07	-3362	39,07	9,85	1
1:52.10	-3363	38,95	9,81	1
1:52.13	-3364	38,95	9,77	1
1:52.20	-3366	38,83	9,73	1
1:52.33	-3370	38,75	9,69	1
1:52.43	-3373	38,79	9,69	1
1:52.47	-3374	39,07	9,77	1
1:52.53	-3376	39,03	9,77	1
1:52.60	-3378	40,88	10,45	1
1:52.70	-3381	41,36	10,57	1
1:52.83	-3385	41,48	10,57	1
1:52.90	-3387	41,52	10,57	1
1:52.97	-3389	41,52	10,53	1
1:53.10	-3393	42,08	10,41	1
1:53.20	-3396	43,37	11,21	1
1:53.33	-3400	43,53	11,89	1
1:53.47	-3404	43,17	12,45	1
1:53.60	-3408	42,85	12,73	1
1:53.70	-3411	41	12,93	1
1:53.83	-3415	39,96	12,85	1
1:53.97	-3419	39,51	12,77	1
1:54.07	-3422	39,52	12,77	1
1:54.10	-3423	38,83	12,45	1
1:54.20	-3426	38,39	12,21	1
1:54.33	-3430	38,03	12,13	1
1:54.47	-3434	37,87	11,21	1
1:54.60	-3438	37,63	10,12	1
1:54.73	-3442	37,47	9,52	1
1:54.83	-3445	37,23	8,92	1
1:54.97	-3449	37,03	8,36	1
1:55.00	-3450	37,03	8,32	1
1:55.10	-3453	36,95	7,88	1
1:55.23	-3457	36,87	7,68	1
1:55.33	-3460	36,87	7,36	1
1:55.47	-3464	36,91	6,95	1
1:55.60	-3468	36,95	6,59	1
1:55.73	-3472	37,03	6,11	1
1:55.83	-3475	37,19	5,63	1
1:55.97	-3479	37,43	5,07	1
1:56.00	-3480	37,39	5,07	1
1:56.10	-3483	37,71	4,43	1
1:56.23	-3487	38,07	3,86	1
1:56.33	-3490	38,27	3,62	1
1:56.47	-3494	38,59	3,06	1
1:56.50	-3495	38,63	3,06	1
1:56.60	-3498	39,27	1,9	1
1:56.73	-3502	40,48	0,49	1
1:56.83	-3505	40,8	0,17	1
1:56.97	-3509	40,92	0,05	1
1:57.10	-3513	41,04	-0,19	1
1:57.23	-3517	41,24	-0,67	1
1:57.33	-3520	41,28	-1,19	1
1:57.47	-3524	38,27	-2,88	1
1:57.60	-3528	36,26	-3,04	1
1:57.73	-3532	31,61	-1,67	1
1:57.83	-3535	28,66	-4,24	1
1:57.97	-3539	28,21	-5,81	1
1:58.10	-3543	29,9	-7,41	1
1:58.23	-3547	30,42	-7,45	1
1:58.33	-3550	30,98	-7,21	1
1:58.47	-3554	32,75	-6,29	1
1:58.60	-3558	34,92	-5,93	1
1:58.73	-3562	35,72	-5,77	1
1:58.83	-3565	37,12	-4,56	1
1:58.97	-3569	38,17	-3,6	1
1:59.10	-3573	38,49	-3,28	1
2:01.33	-3640	40,09	-2,22	2
2:01.37	-3641	40,41	-2,14	2
2:01.47	-3644	42,3	-2,18	2
2:01.60	-3648	42,82	-2,34	2
2:01.73	-3652	43,46	-2,86	2
2:01.87	-3656	43,78	-3,34	2
2:01.97	-3659	43,94	-3,82	2
2:02.10	-3663	43,3	-5,31	2
2:02.23	-3667	42,82	-5,23	2
2:02.37	-3671	42,7	-5,15	2
2:02.47	-3674	42,58	-5,11	2
2:02.60	-3678	42,42	-5,03	2
2:02.73	-3682	42,3	-4,99	2
2:02.87	-3686	42,18	-4,95	2
2:02.97	-3689	42,01	-4,87	2
2:03.10	-3693	42,14	-4,79	2
2:03.23	-3697	43,66	-3,95	2
2:03.37	-3701	44,58	-3,39	2
2:03.47	-3704	45,03	-3,14	2
2:03.60	-3708	45,03	-2,98	2
2:03.73	-3712	44,91	-2,86	2
2:03.87	-3716	44,7	-2,74	2
2:03.97	-3719	44,5	-2,66	2
2:04.10	-3723	44,26	-2,54	2
2:04.23	-3727	44,02	-2,5	2
2:04.37	-3731	43,74	-2,42	2
2:04.50	-3735	43,58	-2,38	2
2:04.60	-3738	43,62	-2,38	2
2:04.73	-3742	44,06	-2,54	2
2:04.87	-3746	44,86	-2,78	2
2:05.00	-3750	44,94	-2,82	2
2:05.10	-3753	44,82	-2,78	2
2:05.23	-3757	44,62	-2,74	2
2:05.37	-3761	44,38	-2,7	2
2:05.50	-3765	44,14	-2,62	2
2:05.60	-3768	43,86	-2,58	2
2:05.73	-3772	43,58	-2,54	2
2:06.00	-3780	44,54	-2,98	2
2:06.10	-3783	44,62	-3,11	2
2:06.23	-3787	44,5	-3,11	2
2:06.37	-3791	44,34	-3,07	2
2:06.50	-3795	44,1	-3,03	2
2:06.60	-3798	43,82	-2,99	2
2:06.73	-3802	43,78	-3,03	2
2:06.87	-3806	43,78	-3,11	2
2:07.00	-3810	44,14	-3,47	2
2:07.10	-3813	45,62	-5,2	2
2:07.23	-3817	45,74	-5,88	2
2:07.37	-3821	45,66	-6,24	2
2:19.73	-4192	37,28	-16,27	3
2:19.77	-4193	37	-15,87	3
2:19.90	-4197	36,8	-15,55	3
2:20.00	-4200	36,76	-15,47	3
2:20.13	-4204	36,72	-15,47	3
2:20.27	-4208	36,56	-15,23	3
2:20.40	-4212	36,36	-14,99	3
2:20.50	-4215	36,2	-14,75	3
2:20.63	-4219	36,08	-14,55	3
2:20.77	-4223	35,91	-14,31	3
2:20.90	-4227	35,79	-14,19	3
2:21.13	-4234	35,67	-14,07	3
2:21.27	-4238	35,55	-13,91	3
2:21.37	-4241	35,55	-13,9	3
2:21.40	-4242	35,47	-13,82	3
2:21.50	-4245	35,39	-14,15	3
2:21.63	-4249	34,51	-15,19	3
2:21.77	-4253	33,23	-16,39	3
2:21.90	-4257	31,78	-17	3
2:22.00	-4260	30,94	-17,08	3
2:22.13	-4264	30,58	-16,91	3
2:22.27	-4268	30,3	-16,75	3
2:22.40	-4272	30,14	-16,59	3
2:22.50	-4275	30,02	-16,39	3
2:22.63	-4279	29,9	-16,23	3
2:22.77	-4283	29,82	-16,07	3
2:22.90	-4287	29,74	-15,91	3
2:23.00	-4290	29,66	-15,75	3
2:23.13	-4294	29,62	-15,59	3
2:23.27	-4298	29,54	-15,43	3
2:23.40	-4302	29,5	-15,27	3
2:23.53	-4306	29,45	-15,15	3
2:23.63	-4309	29,41	-15,03	3
2:23.77	-4313	29,33	-14,9	3
2:23.90	-4317	29,33	-14,78	3
2:24.03	-4321	29,25	-14,66	3
2:24.13	-4324	29,21	-14,54	3
2:24.27	-4328	29,17	-14,42	3
