"Temp","Pote","Larva","Trayectoria","Time","IV"
"12","A","1",1,10.200000047683716,6.581402997239855
"12","A","10",1,10.199999809265137,5.051089204554877
"12","A","2",1,8.799999952316284,11.362893132513143
"12","A","2",2,10.200000047683716,7.649658386219456
"12","A","3",1,42,4.470531936768217
"12","A","3",2,20.90000009536743,4.385469478135996
"12","A","3",3,9.5,4.215249903547412
"12","A","3",4,12.400000095367432,3.196715307518672
"12","A","4",1,10,2.4139094142635193
"12","A","4",2,9.800000190734863,5.270532042490349
"12","A","4",3,9.799999952316284,2.2634399386889568
"12","A","5",1,18.100000143051147,6.857028579728668
"12","A","5",2,11.699999809265137,6.999588027250032
"12","A","5",3,18.199999809265137,7.327644834854796
"12","A","5",4,14.900000095367432,12.31434305502776
"12","A","6",1,11.799999952316284,3.0154037621262884
"12","A","6",2,12.599999904632568,2.9155463451753945
"12","A","7",1,9.700000047683716,2.8341796069880885
"12","A","7",2,10.600000143051147,4.014526955815084
"12","A","7",3,7.700000047683716,5.856466873162066
"12","A","8",1,10,5.719126682259639
"12","A","9",1,15.200000047683716,8.28223174461895
"12","A","9",2,25.799999952316284,9.585441451321532
"12","A","9",3,21.200000047683716,7.125725202122031
"12","A","9",4,6.400000095367432,8.27128329157832
"12","A","9",5,11.100000143051147,7.877322848912918
"12","A","9",6,9.799999952316284,5.9508344820250345
"12","B","1",1,5.039999961853027,4.8071070394813145
"12","B","1",2,5.5,5.797013963691452
"12","B","2",1,11.669999837875366,8.370034893913656
"12","B","2",2,9.929999828338623,5.268442656869408
"12","B","3",1,5.0299999713897705,9.910297140808478
"12","B","3",2,19.760000228881836,9.82362913489001
"12","B","3",3,11.629999876022339,5.255801533030515
"12","B","4",1,10.299999952316284,3.944546392126757
"12","B","4",2,10.200000047683716,2.7403751148855013
"12","B","4",3,5.940000057220459,7.3308399321233
"12","B","5",1,5.800000190734863,10.729152975369505
"12","B","7",1,5.5299999713897705,4.558270412286599
"12","B","7",2,4.759999990463257,5.099232626176116
"12","B","9",1,8.799999952316284,9.141943857056239
"12","B","9",2,7.099999904632568,10.172919285294343
"12","B","9",3,5.299999952316284,9.793364151515423
"12","B","9",4,13.299999952316284,11.35060613828498
"12","B","9",5,5.299999952316284,12.6660100884473
"12","B","9",6,7.6000001430511475,11.847894642257465
"12","C","1",1,13.330000162124634,3.6574075859153643
"12","C","10",1,8.099999904632568,6.350652450514325
"12","C","10",2,5.5,8.582383423738584
"12","C","2",1,5.139999866485596,3.570219184566773
"12","C","2",2,5.670000076293945,3.963298918026536
"12","C","2",3,5.0299999713897705,7.389543940997533
"12","C","4",1,5.329999923706055,1.2194362373518122
"12","C","5",1,11.129999876022339,6.343182564705707
"12","C","5",2,6.039999961853027,3.6221815603075393
"12","C","5",3,26.83999991416931,4.021377589274884
"12","C","7",1,4.299999952316284,6.282867802916858
"12","C","7",2,6.300000190734863,3.2877041309774087
"12","C","7",3,5.799999952316284,2.748290160645386
"12","C","7",4,7.200000047683716,3.8661070346677087
"12","C","8",1,7.900000095367432,10.49877674626436
"12","C","9",1,7.3999998569488525,7.487466486919507
"12","C","9",2,13,10.773418037949769
"12","C","9",3,10.5,11.270526079918966
"15","A","1",1,5.5,3.3550072371669994
"15","A","1",2,6.900000095367432,1.2553254563244494
"15","A","1",3,6.400000095367432,3.3065015674871643
"15","A","10",1,7.599999904632568,0.6069886939753134
