time	frame	x	y	
2:20.37	-4211	24,78	-12,13	2
2:20.50	-4215	26,7	-12,08	2
2:20.63	-4219	28,92	-12,82	2
2:20.67	-4220	28,96	-12,82	2
2:20.77	-4223	32,25	-12,71	2
2:20.87	-4226	34,42	-13,88	2
2:21.00	-4230	33,94	-14,25	2
2:21.13	-4234	34,25	-12,92	2
2:21.27	-4238	35,02	-13,31	2
2:21.37	-4241	34,26	-14,12	2
2:21.50	-4245	32,9	-14,21	2
2:21.63	-4249	30,65	-13,75	2
2:21.77	-4253	30,35	-12,59	2
2:21.87	-4256	31,55	-11,86	2
2:22.00	-4260	32,29	-13,34	2
2:22.13	-4264	32,06	-14,54	2
2:22.27	-4268	31,42	-15,39	2
2:22.37	-4271	29,7	-15,73	2
2:22.50	-4275	27,97	-15,33	2
2:22.63	-4279	26,84	-13,85	2
2:22.77	-4283	28	-13,2	2
2:22.83	-4285	27,96	-13,16	2
2:22.87	-4286	30,07	-15,75	2
2:23.00	-4290	29,95	-16,43	2
2:23.13	-4294	28,95	-16,2	2
2:23.27	-4298	25,41	-15,99	2
2:23.37	-4301	23,49	-16,01	2
2:23.50	-4305	23,08	-14,22	2
2:23.63	-4309	24,27	-12,61	2
2:23.77	-4313	24,75	-12,08	2
2:23.90	-4317	24,99	-11,84	2
2:24.00	-4320	25,1	-11,64	2
2:24.13	-4324	25,22	-11,51	2
2:24.27	-4328	25,3	-11,39	2
2:24.40	-4332	25,46	-11,07	2
2:24.50	-4335	25,28	-8,98	2
2:24.63	-4339	24,83	-8,35	2
2:24.77	-4343	24,18	-7,67	2
2:24.90	-4347	24,34	-6,7	2
2:25.00	-4350	24,85	-6,22	2
2:25.13	-4354	26,01	-5,2	2
2:25.27	-4358	28,48	-3,38	2
2:25.40	-4362	29,96	-3,24	2
2:25.50	-4365	31,12	-2,23	2
2:25.63	-4369	31,59	-1,42	2
2:25.77	-4373	31,75	-0,82	2
2:25.90	-4377	31,63	-0,62	2
2:26.00	-4380	31,58	-0,5	2
2:26.13	-4384	31,71	-0,5	2
2:26.23	-4387	31,7	-0,5	2
2:26.27	-4388	32,06	-0,33	2
2:26.40	-4392	32,26	-0,13	2
2:26.50	-4395	32,04	2,64	2
2:26.63	-4399	32,34	4,65	2
2:26.67	-4400	32,34	4,64	2
2:26.77	-4403	32,59	5,35	2
2:26.90	-4407	32,62	5,83	2
2:27.00	-4410	32,15	7,13	2
2:27.13	-4414	31,32	10,35	2
2:27.17	-4415	31,32	10,47	2
2:27.27	-4418	32,28	11,29	2
2:27.40	-4422	33,07	12,22	2
2:27.50	-4425	33,23	12,87	2
2:27.63	-4429	33,22	13,51	2
3:02.70	-5481	8,98	-13,58	3
3:02.83	-5485	9,64	-13,36	3
3:02.93	-5488	9,76	-13,48	3
3:03.03	-5491	9,76	-13,47	3
3:03.07	-5492	10,88	-13,47	3
3:03.20	-5496	10,96	-13,55	3
3:03.33	-5500	11,12	-13,75	3
