time	frame	x	y	
03:21.2	-6037	"21,28"	"-5,83"	2
03:21.4	-6041	"21,88"	"-5,75"	2
03:21.5	-6044	22	"-5,75"	2
03:21.6	-6048	"22,2"	"-5,74"	2
03:21.7	-6051	"22,2"	"-5,75"	2
03:21.7	-6052	"22,28"	"-5,78"	2
03:22.0	-6059	"22,76"	"-6,02"	2
03:22.1	-6063	"23,09"	"-6,26"	2
03:22.2	-6067	"23,25"	"-6,62"	2
03:22.4	-6071	"23,25"	"-6,9"	2
03:22.6	-6078	"23,14"	"-7,7"	2
03:22.7	-6082	"22,59"	"-8,74"	2
03:22.9	-6086	"21,91"	"-8,99"	2
03:23.0	-6089	"21,47"	"-8,99"	2
03:23.1	-6093	"20,9"	"-8,48"	2
03:23.4	-6101	"21,33"	"-6,83"	2
03:23.5	-6104	"23,73"	"-6,25"	2
03:23.6	-6108	"23,77"	"-6,57"	2
03:23.7	-6112	"23,45"	"-7,05"	2
03:23.8	-6115	"23,46"	"-7,05"	2
03:23.9	-6116	"23,26"	"-7,34"	2
03:24.1	-6123	"22,9"	"-8,14"	2
03:24.2	-6127	"21,41"	"-7,51"	2
03:24.4	-6131	"21,97"	"-7,43"	2
03:24.5	-6135	"22,3"	"-8,02"	2
03:24.6	-6138	"21,74"	"-8,83"	2
03:24.9	-6146	"19,95"	"-9,48"	2
03:25.0	-6150	"20,58"	"-8,8"	2
03:25.1	-6153	"21,59"	"-9,47"	2
03:25.2	-6157	"21,95"	"-10,27"	2
03:25.5	-6165	"22,08"	"-10,87"	2
03:25.6	-6168	"20,88"	"-11,76"	2
03:25.7	-6172	"21,8"	"-11,23"	2
03:25.9	-6176	"22,52"	"-11,19"	2
03:26.0	-6180	"23,04"	"-11,26"	2
03:26.2	-6187	"23,57"	"-11,54"	2
03:26.4	-6191	"24,66"	"-13,13"	2
03:26.5	-6195	"24,63"	"-13,9"	2
03:26.6	-6198	"24,03"	"-14,14"	2
03:26.7	-6200	"24,03"	"-14,18"	2
03:26.7	-6202	"23,86"	"-13,86"	2
03:26.9	-6207	"23,9"	"-13,86"	2
03:27.0	-6210	"24,18"	"-13,78"	2
03:27.1	-6213	"24,79"	"-14,42"	2
03:27.2	-6217	"24,43"	"-15,26"	2
03:27.4	-6221	"23,43"	"-15,47"	2
03:27.5	-6225	"23,07"	"-15,11"	2
03:27.7	-6232	"23,19"	"-14,79"	2
03:27.9	-6236	"23,51"	"-14,39"	2
03:28.0	-6240	"23,87"	"-14,34"	2
03:28.1	-6243	"24,27"	"-14,5"	2
03:28.4	-6251	"24,39"	"-14,9"	2
03:28.5	-6255	"24,39"	"-15,02"	2
03:28.6	-6259	"24,27"	"-15,1"	2
03:28.7	-6261	"24,23"	"-15,1"	2
03:28.7	-6262	"23,88"	"-15,31"	2
03:28.9	-6266	"23,6"	"-15,39"	2
04:20.3	-7809	"22,09"	"-10,36"	3
04:20.3	-7810	"22,01"	"-10,64"	3
04:20.5	-7814	"21,97"	"-10,88"	3
04:20.6	-7817	"21,89"	-11	3
04:20.7	-7821	"21,81"	"-11,2"	3
04:20.8	-7825	"21,86"	"-11,6"	3
04:21.0	-7829	"21,78"	"-11,96"	3
04:21.0	-7830	"21,82"	"-11,96"	3
04:21.1	-7832	"21,66"	"-12,37"	3
04:21.1	-7834	"21,66"	"-12,36"	3
04:21.2	-7836	"21,99"	"-13,84"	3
04:21.3	-7839	"21,99"	"-13,85"	3
04:21.3	-7840	"22,12"	"-14,53"	3
04:21.5	-7844	"22,04"	"-15,05"	3
04:21.6	-7847	"21,8"	"-15,21"	3
04:21.7	-7851	"21,6"	"-15,29"	3
04:21.8	-7855	"21,32"	"-15,25"	3
04:21.9	-7856	"21,32"	"-15,21"	3
04:22.0	-7859	"21,2"	"-15,17"	3
04:22.1	-7862	"21,12"	"-14,97"	3
04:22.2	-7866	"21,03"	"-13,85"	3
04:22.3	-7870	"21,11"	"-13,21"	3
04:22.4	-7871	"21,1"	"-13,21"	3
04:22.5	-7874	"21,22"	"-12,77"	3
04:22.6	-7877	"21,38"	"-12,49"	3
04:22.7	-7881	"21,69"	"-11,88"	3
04:22.7	-7882	"21,7"	"-11,88"	3
04:22.8	-7885	"22,05"	"-11,52"	3
04:23.0	-7889	"22,25"	"-11,28"	3
04:23.0	-7890	"22,25"	"-11,27"	3
04:23.1	-7892	"22,37"	"-11,15"	3
04:23.2	-7896	"22,37"	"-11,03"	3
04:23.3	-7900	"22,65"	"-10,95"	3
04:23.5	-7904	"22,81"	"-10,87"	3
04:23.6	-7908	"22,85"	"-10,83"	3
04:23.7	-7911	"22,89"	"-10,79"	3
04:23.8	-7915	"22,97"	"-10,75"	3
04:24.0	-7919	"23,05"	"-10,71"	3
04:24.1	-7923	"23,13"	"-10,63"	3
04:24.2	-7926	"23,25"	"-10,55"	3
04:24.3	-7930	"23,33"	"-10,47"	3
04:24.5	-7934	"23,45"	"-10,42"	3
04:24.6	-7938	"23,61"	"-10,3"	3
04:24.7	-7941	"23,77"	"-10,26"	3
04:24.8	-7945	"23,93"	"-10,22"	3
04:25.0	-7949	"24,17"	"-10,3"	3
04:25.1	-7953	"24,74"	"-11,1"	3
04:25.2	-7956	"25,02"	"-11,57"	3
04:25.3	-7960	"25,19"	"-11,93"	3
04:25.5	-7964	"25,43"	"-12,93"	3
04:25.6	-7968	"25,36"	"-13,7"	3
04:25.7	-7971	"25,08"	"-14,34"	3
04:25.8	-7975	"24,64"	"-14,66"	3
04:26.0	-7979	"24,16"	"-14,66"	3
04:26.1	-7983	"23,84"	"-14,59"	3
04:26.2	-7986	"23,8"	"-14,51"	3
04:26.3	-7990	"23,72"	"-14,43"	3
04:26.5	-7994	"23,68"	"-14,39"	3
04:26.6	-7998	"23,68"	"-14,31"	3
04:26.7	-8001	"23,64"	"-14,23"	3
04:26.8	-8005	"23,68"	"-14,15"	3
04:27.0	-8009	"23,6"	"-14,03"	3
04:27.1	-8013	"23,56"	"-13,63"	3
04:27.1	-8014	"23,55"	"-13,63"	3
04:27.2	-8016	"23,47"	"-13,35"	3
04:27.3	-8020	"23,55"	"-13,07"	3
04:27.4	-8023	"23,55"	"-13,06"	3
04:27.5	-8024	"23,87"	"-12,74"	3
04:27.6	-8028	"24,15"	"-12,58"	3
04:27.7	-8031	"24,27"	"-12,5"	3
04:27.8	-8035	"24,43"	"-12,42"	3
04:28.0	-8039	"24,55"	"-12,33"	3
04:28.1	-8043	"24,63"	"-12,29"	3
04:28.2	-8047	"24,83"	"-12,25"	3
04:28.3	-8050	"24,91"	"-12,21"	3
04:28.5	-8054	"25,03"	"-12,17"	3
04:28.6	-8058	"25,15"	"-12,33"	3
04:28.7	-8062	"25,36"	"-12,81"	3
04:28.8	-8065	"25,56"	"-13,37"	3
04:29.0	-8069	"25,53"	"-13,93"	3
04:29.1	-8073	"25,45"	"-14,21"	3
04:29.2	-8077	"25,53"	"-14,17"	3
04:29.3	-8080	"25,41"	"-14,33"	3
04:29.5	-8084	"25,37"	"-14,41"	3
04:29.6	-8088	"25,29"	"-14,57"	3
04:29.7	-8092	"25,25"	"-14,65"	3
04:29.8	-8095	"25,21"	"-14,69"	3
04:30.1	-8103	"25,17"	"-14,65"	3
