time	x	y	
01:36.0	"28,48"	"-19,10"	1
01:36.1	"27,43"	"-19,69"	1
01:36.2	"26,94"	"-20,24"	1
01:36.2	"26,58"	"-20,97"	1
02:22.3	"38,41"	"-16,96"	2
02:22.5	"38,50"	"-16,88"	2
02:22.5	"38,59"	"-16,75"	2
02:22.6	"38,46"	"-16,88"	2
02:22.7	"36,64"	"-16,30"	2
02:22.8	"35,55"	"-16,41"	2
02:22.8	"34,97"	"-16,92"	2
02:22.9	"34,79"	"-17,26"	2
02:22.9	"34,83"	"-17,56"	2
02:23.0	"35,13"	"-17,87"	2
02:23.1	"35,65"	"-18,01"	2
02:23.1	"36,30"	"-17,85"	2
02:23.2	"37,31"	"-17,48"	2
02:23.2	"37,79"	"-16,97"	2
02:23.3	"38,19"	"-16,54"	2
02:23.4	"38,98"	"-15,87"	2
02:23.4	"39,20"	"-15,61"	2
02:23.5	"38,93"	"-14,87"	2
02:23.5	"38,16"	"-14,12"	2
02:23.6	"37,65"	"-13,55"	2
02:23.7	"37,62"	"-13,29"	2
02:23.7	"37,66"	"-13,29"	2
02:23.8	"37,62"	"-13,29"	2
02:23.8	"37,53"	"-13,03"	2
02:23.9	"37,33"	"-12,59"	2
02:24.0	"37,29"	"-12,20"	2
02:24.0	"37,30"	"-11,46"	2
02:24.1	"37,35"	"-11,46"	2
02:24.1	"37,62"	"-10,99"	2
02:24.1	"37,88"	"-10,86"	2
02:24.2	"37,88"	"-10,82"	2
02:24.2	"37,92"	"-10,82"	2
02:24.3	"38,01"	"-10,82"	2
02:24.3	"38,10"	"-10,87"	2
02:24.4	"38,14"	"-10,87"	2
02:24.5	"38,10"	"-10,87"	2
02:24.6	"38,36"	"-11,00"	2
02:24.6	"38,35"	"-11,09"	2
02:24.7	"38,57"	"-11,23"	2
02:24.8	"38,70"	"-11,27"	2
02:24.9	"38,70"	"-11,23"	2
02:24.9	"38,74"	"-11,27"	2
02:25.1	"38,74"	"-11,23"	2
02:25.3	"38,78"	"-11,27"	2
02:25.4	"39,09"	"-11,32"	2
02:25.4	"39,13"	"-11,15"	2
02:25.5	"39,53"	"-10,85"	2
02:25.5	"39,57"	"-10,86"	2
02:25.5	"40,22"	"-10,87"	2
02:25.6	"40,30"	"-11,17"	2
02:25.7	"40,73"	"-11,44"	2
02:25.7	"40,78"	"-11,44"	2
02:25.8	"40,78"	"-11,40"	2
