time	x	y	
02:01.2	"10,80"	"7,79"	1
02:01.3	"10,34"	"7,22"	1
02:01.5	"9,19"	"7,70"	1
02:01.6	"8,88"	"8,86"	1
02:01.7	"9,60"	"9,92"	1
02:01.9	"10,56"	"10,19"	1
02:02.0	"11,63"	"9,80"	1
02:02.1	"11,63"	"7,82"	1
02:02.2	"10,88"	"7,62"	1
02:02.4	"10,90"	"8,45"	1
02:02.5	"12,20"	"9,13"	1
02:02.6	"13,14"	"8,78"	1
02:02.7	"13,30"	"8,61"	1
02:02.9	"13,38"	"8,40"	1
02:03.0	"13,21"	"7,83"	1
02:03.1	"11,96"	"5,58"	1
02:03.2	"11,27"	"5,88"	1
02:03.4	"11,04"	"7,12"	1
02:03.5	"11,09"	"7,33"	1
02:03.6	"11,30"	"7,45"	1
02:03.7	"11,29"	"7,45"	1
02:03.7	"11,46"	"7,49"	1
02:03.9	"13,74"	"7,45"	1
02:03.9	"13,74"	"7,44"	1
02:04.0	"14,43"	"7,06"	1
02:04.1	"14,63"	"6,81"	1
02:04.2	"14,80"	"6,72"	1
02:04.3	"14,80"	"6,68"	1
02:04.4	"14,65"	"5,57"	1
02:04.5	"14,09"	"4,25"	1
02:04.6	"13,92"	"4,01"	1
02:04.7	"13,75"	"3,81"	1
02:04.9	"13,42"	"3,65"	1
02:05.0	"11,46"	"2,86"	1
02:05.1	"9,79"	"2,35"	1
02:05.2	"8,68"	"2,78"	1
02:05.4	"8,33"	"3,62"	1
02:05.5	"8,39"	"4,82"	1
02:05.6	"8,57"	"5,52"	1
02:05.7	"8,71"	"6,30"	1
02:05.9	"8,90"	"7,70"	1
02:06.0	"8,88"	"8,74"	1
02:06.1	"8,60"	"10,62"	1
02:17.9	"9,29"	"10,33"	2
02:18.0	"9,12"	"10,08"	2
02:18.0	"9,11"	"10,08"	2
02:18.1	"9,07"	"10,00"	2
02:18.3	"9,03"	"10,00"	2
02:18.4	"9,16"	"10,16"	2
02:18.5	"9,28"	"10,33"	2
02:18.6	"9,67"	"10,82"	2
02:18.7	"9,66"	"10,82"	2
02:18.8	"9,24"	"10,29"	2
02:18.9	"9,03"	"9,96"	2
02:19.0	"8,77"	"9,59"	2
02:19.1	"8,94"	"9,80"	2
02:19.3	"9,41"	"10,41"	2
02:19.4	"9,87"	"10,98"	2
02:19.5	"10,17"	"11,35"	2
02:19.6	"10,30"	"11,51"	2
02:19.8	"10,72"	"11,47"	2
02:19.9	"10,42"	"11,15"	2
02:20.1	"10,88"	"11,68"	2
02:20.3	"10,25"	"10,95"	2
02:20.3	"11,22"	"12,81"	2
02:20.4	"11,56"	"13,17"	2
02:20.5	"11,56"	"13,22"	2
02:20.5	"11,56"	"13,21"	2
02:20.8	"11,60"	"13,21"	2
02:20.9	"11,65"	"13,30"	2
02:20.9	"11,65"	"13,29"	2
02:21.1	"11,61"	"13,21"	2
02:21.2	"11,60"	"13,21"	2
02:21.3	"11,48"	"13,09"	2
02:21.4	"11,44"	"13,05"	2
02:21.8	"11,48"	"13,09"	2
02:22.0	"11,44"	"13,05"	2
02:22.0	"11,44"	"13,04"	2
02:22.1	"11,40"	"12,96"	2
02:22.3	"11,31"	"12,88"	2
02:22.4	"11,27"	"12,80"	2
02:23.0	"11,31"	"12,79"	2
02:23.3	"11,36"	"12,83"	2
02:23.4	"11,40"	"12,88"	2
02:23.5	"11,40"	"12,87"	2
02:23.5	"11,44"	"12,92"	2
