Individuo	Horas	Temp	Replica	Dia
12_8_IND1_C	192	12	17	8
12_8_IND1_D	192	12	17	8
12_8_IND1_I	192	12	17	8
12_8_IND2_C	192	12	18	8
12_8_IND2_D	192	12	18	8
12_8_IND2_I	192	12	18	8
12_8_IND3_C	192	12	19	8
12_8_IND3_D	192	12	19	8
12_8_IND3_I	192	12	19	8
12_8_IND4_C	192	12	20	8
12_8_IND4_D	192	12	20	8
12_8_IND4_I	192	12	20	8
12_8_IND5_C	192	12	21	8
12_8_IND5_D	192	12	21	8
12_8_IND5_I	192	12	21	8
15_8_IND1_C	192	15	42	8
15_8_IND1_D	192	15	42	8
15_8_IND1_I	192	15	42	8
15_8_IND2_C	192	15	43	8
15_8_IND2_D	192	15	43	8
15_8_IND2_I	192	15	43	8
15_8_IND3_C	192	15	44	8
15_8_IND3_D	192	15	44	8
15_8_IND3_I	192	15	44	8
15_8_IND4_C	192	15	45	8
15_8_IND4_D	192	15	45	8
15_8_IND4_I	192	15	45	8
15_8_IND5_C	192	15	46	8
15_8_IND5_D	192	15	46	8
15_8_IND5_I	192	15	46	8
17_8_IND1_C	192	17	63	8
17_8_IND1_D	192	17	63	8
17_8_IND1_I	192	17	63	8
17_8_IND2_C	192	17	64	8
17_8_IND2_D	192	17	64	8
17_8_IND2_I	192	17	64	8
17_8_IND3_C	192	17	65	8
17_8_IND3_D	192	17	65	8
17_8_IND3_I	192	17	65	8
